na,nb,nk,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
9,4,4,8.50748099710527e-08,0.207568802225601,0.00170000490141132,0.000694421201347644,0.0524908283507924,93
9,3,3,0.00146831683739192,0.208140609597962,0.000213912863747727,0.00519883336673627,0.0537554181664595,94
9,1,1,4.27057800212582e-08,0.210529053405901,0.000144182757769445,0.00480571631947801,0.0538697487972322,95
9,3,2,0.000772773777736057,0.208346735361109,0.000263813725129975,0.00651006300678376,0.0539733464676898,96
9,1,3,4.37400835791114e-08,0.210430967027922,0.00541146651885098,0.000125436968235703,0.053991978563773,97
9,1,2,0.00164236835774757,0.210425290943124,0.00512157377652085,0.000125470894610549,0.0543286759930008,98
9,2,3,0.0024919045374252,0.209529324765321,0.00542163317252851,0.000116122581357089,0.0543897462641579,99
9,2,2,0.00118830371801317,0.20872216600518,0.00290531500299789,0.00496338784903116,0.0544447931438055,100
9,1,4,4.43017608068396e-08,0.209806603366005,0.00454404930351499,0.0048378948360403,0.0547971479518303,101
9,3,4,0.00173128525092486,0.207917423192114,0.0052604507434476,0.00507654490021309,0.054996426021675,102
9,3,1,0.00241648910751568,0.208628300084436,0.00684635784637691,0.00467046886385649,0.0556404039755462,103
9,4,3,0.00132196586667272,0.210363579178035,0.003101371368412,0.00780697947233031,0.0556484739713626,104
9,4,1,0.000458383896989942,0.20829309622665,0.0153034049891129,0.00271786108781658,0.0566931865501423,105
9,2,1,0.00045837222488689,0.20898694490017,0.0110055691840736,0.00813552362440287,0.0571466024833833,106
2,3,2,0.108796231619572,0.026242364551035,0.0523802254146156,0.050305063003375,0.0594309711471494,107
1,2,1,0.0398820760358,0.028155806617514,0.121380706606845,0.148202970180827,0.0844053898602466,108
1,3,2,0.039420281842728,0.028096165422281,0.132632218324031,0.145177419746078,0.0863315213337794,109
1,4,3,0.0405091460610936,0.028173425334761,0.142222049693257,0.144225197269753,0.0887824545897162,110
1,1,4,0.0395828925878727,0.0283603831840038,0.145426615707606,0.144741015229327,0.0895277266772025,111
1,2,3,0.0393865726239757,0.0282012881200006,0.144424914173879,0.147213741298403,0.0898066290540644,112
1,1,3,0.0397330134327298,0.0281208921093407,0.14782729397357,0.144893261222175,0.090143615184454,113
1,2,4,0.0393018688926911,0.0282878846775298,0.148793077878258,0.144562535758944,0.0902363418018558,114
1,4,4,0.0392508771569194,0.028213384192266,0.14801312046533,0.150849303681122,0.0915816713739093,115
1,1,2,0.0384667854163908,0.0283099981206129,0.152499787292608,0.147159160473703,0.0916089328258287,116
1,3,4,0.0397312970856249,0.0282751651838636,0.150972764444451,0.147909433317831,0.0917221650079427,117
1,1,1,0.0398294350080539,0.0283553471188835,0.15786866421327,0.143565172530501,0.0924046547176771,118
1,2,2,0.0387020787177823,0.0281729462872006,0.158368054329775,0.151641302014791,0.0942210953373871,119
1,3,3,0.0397554453673226,0.0282302777648823,0.158517459348216,0.151654049108507,0.094539307897232,120
9,4,2,0.236638289824512,0.208044261886451,0.00554144409706116,0.00881182656309952,0.114758955592781,121
8,2,4,0.00173976781042663,0.0308041847903048,26.27617562937,0.000167099196053986,6.5772216702917,122
4,4,2,57.5503951444196,0.0357849202092165,0.0124469893614975,0.00543791730487711,14.4010162428238,123
2,4,1,0.0366189737587988,0.0257085966918056,2117.44047201433,0.139691610781988,529.41062279889,124
3,4,1,0.00208966020312652,119627615.507067,0.0205912439707616,0.0176706786792544,29906903.8868546,125
3,4,2,0.00549409411962138,119628378.390323,0.0243102877869941,0.0168718236689956,29907094.6092499,126
3,4,3,0.00135353994601254,119633924.643591,0.0159326873745803,0.0157162432139408,29908481.1691484,127
3,3,1,0.00248245679545115,119639549.415314,0.0197714354663708,0.0132854683616438,29909887.3627134,128
3,3,2,0.00540923844868875,119644975.669981,0.0167347062266033,0.0198278883521556,29911243.9279883,129
3,2,2,0.00334531356130629,119645403.669119,0.0156895859959444,0.0201652189707815,29911350.9270799,130
3,4,4,0.0022781085870646,119654566.717931,0.013503113475103,0.0145802125464564,29913641.6870732,131
3,2,1,0.000513701853573881,119655225.228292,0.0167174180455163,0.0162182798471434,29913806.3154352,132
3,3,4,0.0021172267765608,119670359.242221,0.0091510211624679,0.0149501112994723,29917589.8171098,133
3,3,3,0.000540548759752359,119670364.581132,0.0155261790552705,0.0152222291392598,29917591.1531052,134
