Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_S,Projected_S,AbsError_S,Truth_I,Projected_I,AbsError_I
A3,ARX,I,70,7,77,97082.0113308303,97187.7812322289,105.769901398526,290.913923862451,397.339678462435,106.425754599984
A3,ARX,I,70,8,78,97010.493437212,97115.9414341991,105.447996987161,307.296046797388,436.659039044282,129.362992246894
A3,ARX,I,70,9,79,96935.6112667786,97035.9266413791,100.315374600512,324.415987218554,478.732483637131,154.316496418578
A3,ARX,I,70,10,80,96857.4037049525,96947.5335881757,90.1298832231696,342.219518642796,523.439975063235,181.220456420438
A3,ARX,I,70,11,81,96775.942785305,96850.6344066813,74.6916213763325,360.63830248296,570.610301962471,209.971999479511
A3,ARX,I,70,12,82,96691.3350019428,96745.1761379521,53.8411360093451,379.589502178698,620.028098892515,240.438596713817
A3,ARX,I,70,13,83,96603.7218523989,96631.1739900844,27.4521376855701,398.97576144279,671.44570946515,272.469948022361
A3,ARX,I,70,14,84,96513.2795118763,96508.6977793849,4.58173249139509,418.685598627727,724.599788303824,305.914189676097
A3,ARX,I,77,1,78,97010.493437212,97038.9246868894,28.4312496774801,307.296046797388,319.683817740322,12.3877709429343
A3,ARX,I,77,2,79,96935.6112667786,96989.7845390203,54.1732722416491,324.415987218554,350.438176709527,26.0221894909733
A3,ARX,I,77,3,80,96857.4037049525,96934.4788009686,77.0750960160658,342.219518642796,383.060045758954,40.840527116158
A3,ARX,I,77,4,81,96775.942785305,96872.9735942481,97.0308089430764,360.63830248296,417.377277865774,56.7389753828145
A3,ARX,I,77,5,82,96691.3350019428,96805.3224305533,113.987428610475,379.589502178698,453.161058666495,73.5715564877971
A3,ARX,I,77,6,83,96603.7218523989,96731.6724428162,127.950590417371,398.97576144279,490.127307260633,91.1515458178432
A3,ARX,I,77,7,84,96513.2795118763,96652.2667230115,138.987211135202,418.685598627727,527.941450869789,109.255852242063
A3,ARX,I,77,8,85,96420.2175679985,96567.4419881264,147.224420127939,438.594257521685,566.226856537846,127.632599016161
A3,ARX,I,77,9,86,96324.7767806512,96477.6210897581,152.844309106862,458.565039176895,604.576895534154,146.01185635726
A3,ARX,I,77,10,87,96227.2258724806,96383.3002931386,156.07442065794,478.451120116738,642.570241164329,164.119121047591
A3,ARX,I,77,11,88,96127.8573999285,96285.031737144,157.17433721546,498.097840270775,679.788605033648,181.690764762872
A3,ARX,I,77,12,89,96026.9827996338,96183.4019840229,156.419184389117,517.345420388846,715.835762433731,198.490342044886
