Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,WIS
A4,ARX,S,252,7,259,0.909099868145179,0.908995238200285,0.000104603306574978
A4,ARX,S,252,8,260,0.920251144197055,0.920034488829477,0.000216628405671992
A4,ARX,S,252,9,261,0.933892154364197,0.933475676772709,0.000416450240789087
A4,ARX,S,252,10,262,0.949957426141047,0.949205162476808,0.000752235859988995
A4,ARX,S,252,11,263,0.968366974448647,0.967078198419164,0.00128874770607932
A4,ARX,S,252,12,264,0.989025939465599,0.986916291708995,0.0021096188462301
A4,ARX,S,252,13,265,1.01182425521157,1.00850527810165,0.00331894754131499
A4,ARX,S,252,14,266,1.03663638049503,1.03159446040391,0.00504188978877599
A4,ARX,S,259,1,260,0.920251144197055,0.920251180832313,1.37824782599062e-08
A4,ARX,S,259,2,261,0.933892154364197,0.933892468222997,2.85247116057732e-07
A4,ARX,S,259,3,262,0.949957426141047,0.949958924530796,1.46917481046511e-06
A4,ARX,S,259,4,263,0.968366974448647,0.968372493366779,5.26008827883932e-06
A4,ARX,S,259,5,264,0.989025939465599,0.98904284900051,1.68783302934646e-05
A4,ARX,S,259,6,265,1.01182425521157,1.0118689573519,4.46701751663725e-05
A4,ARX,S,259,7,266,1.03663638049503,1.03674119807875,0.000104784753624736
A4,ARX,S,259,8,267,1.06332112500423,1.06354395957408,0.000222800757669234
A4,ARX,S,259,9,268,1.09172160338137,1.09215853903862,0.000436900730647805
A4,ARX,S,259,10,269,1.12166534904193,1.12246609937767,0.00080071414612506
A4,ARX,S,259,11,270,1.1529646172836,1.15435036438799,0.00138570948765721
A4,ARX,S,259,12,271,1.18541690390552,1.18769968449968,0.00228274137334688
A4,ARX,S,259,13,272,1.2188057011947,1.22240808655184,0.00360234434695807
A4,ARX,S,259,14,273,1.2529015078321,1.25837493900585,0.00547338818660235
A4,ARX,S,266,1,267,1.06332112500423,1.06332109398067,1.18593287202885e-08
A4,ARX,S,266,2,268,1.09172160338137,1.09172131786991,2.2435477598812e-07
A4,ARX,S,266,3,269,1.12166534904193,1.12166390091892,1.36957505493868e-06
A4,ARX,S,266,4,270,1.1529646172836,1.15295929306903,5.2879089198648e-06
A4,ARX,S,266,5,271,1.18541690390552,1.18540104661269,1.58208559377328e-05
A4,ARX,S,266,6,272,1.2188057011947,1.21876509574441,4.05679900158273e-05
A4,ARX,S,266,7,273,1.2529015078321,1.2528088013845,9.26679445937643e-05
A4,ARX,S,266,8,274,1.28746310315571,1.28726980062319,0.000193262971776357
A4,ARX,S,266,9,275,1.32223908944989,1.32186476681227,0.000374282008828345
A4,ARX,S,266,10,276,1.35696969869133,1.35628826150215,0.000681395488285103
A4,ARX,S,266,11,277,1.39138885267405,1.39021193505581,0.00117687484995463
A4,ARX,S,266,12,278,1.42522645787431,1.42328439901079,0.00194201504444932
A4,ARX,S,266,13,279,1.45821090902455,1.45513213911716,0.0030787250691691
A4,ARX,S,266,14,280,1.49007176836835,1.48536185227337,0.00470987028258243
A4,ARX,S,273,1,274,1.28746310315571,1.28746304213017,2.44752025880936e-08
A4,ARX,S,273,2,275,1.32223908944989,1.32223861096382,4.37062408446357e-07
A4,ARX,S,273,3,276,1.35696969869133,1.35696759730893,2.05885868426304e-06
A4,ARX,S,273,4,277,1.39138885267405,1.39138204651012,6.7625481337726e-06
A4,ARX,S,273,5,278,1.42522645787431,1.42520835246289,1.80607232305458e-05
A4,ARX,S,273,6,279,1.45821090902455,1.45816906735277,4.1795940240842e-05
A4,ARX,S,273,7,280,1.49007176836835,1.48998487886458,8.6842768524341e-05
A4,ARX,S,273,8,281,1.520542581185,1.52037681333616,0.000165720159394453
A4,ARX,S,273,9,282,1.54936378260769,1.54906872901679,0.000295005006348517
A4,ARX,S,273,10,283,1.57628564620134,1.57579015801794,0.00049543877214235
A4,ARX,S,273,11,284,1.60107122137404,1.60027953749506,0.000791633718136895
A4,ARX,S,273,12,285,1.62349920459827,1.62228784029354,0.00121131347918297
A4,ARX,S,273,13,286,1.64336668870719,1.64158257452313,0.00178406278519757
A4,ARX,S,273,14,287,1.66049173525737,1.65795207362088,0.00253960976089752
A4,ARX,S,280,1,281,1.520542581185,1.52054260464023,1.12309199236845e-08
A4,ARX,S,280,2,282,1.54936378260769,1.54936397352729,1.42613473494732e-07
A4,ARX,S,280,3,283,1.57628564620134,1.57628651484773,8.19499371922877e-07
A4,ARX,S,280,4,284,1.60107122137404,1.60107413134748,2.86004702441358e-06
A4,ARX,S,280,5,285,1.62349920459827,1.62350719933449,7.94412365814099e-06
A4,ARX,S,280,6,286,1.64336668870719,1.6433857446477,1.90047248637582e-05
A4,ARX,S,280,7,287,1.66049173525737,1.66053250059614,4.07136101888818e-05
A4,ARX,S,280,8,288,1.67471571712173,1.67479574995347,7.99806827544535e-05
A4,ARX,S,280,9,289,1.68590538205909,1.68605184328464,0.000146408751347805
A4,ARX,S,280,10,290,1.69395459292062,1.69420728290588,0.000252637283423894
A4,ARX,S,280,11,291,1.69878570627929,1.69920026713624,0.000414508026708977
A4,ARX,S,280,12,292,1.70035055844617,1.70100160387264,0.000650992567451818
A4,ARX,S,280,13,293,1.69863103587811,1.6996149256362,0.000983836969212556
A4,ARX,S,280,14,294,1.69363921566415,1.69507616882201,0.00143690053618128
A4,ARX,S,287,1,288,1.67471571712173,1.67471572671359,1.04035858977052e-08
A4,ARX,S,287,2,289,1.68590538205909,1.68590545459457,2.82190651611379e-08
A4,ARX,S,287,3,290,1.69395459292062,1.69395489967488,2.54850387603077e-07
A4,ARX,S,287,4,291,1.69878570627929,1.69878666219313,9.03854467553749e-07
A4,ARX,S,287,5,292,1.70035055844617,1.70035300260005,2.39205544859924e-06
A4,ARX,S,287,6,293,1.69863103587811,1.69863645832223,5.37040669712373e-06
A4,ARX,S,287,7,294,1.69363921566415,1.69365000953031,1.07419902529061e-05
A4,ARX,S,287,8,295,1.68541707086717,1.6854367771287,1.96546444093948e-05
A4,ARX,S,287,9,296,1.6740357447402,1.67406924877841,3.34527749550426e-05
A4,ARX,S,287,10,297,1.65959440698018,1.65964804296786,5.35851708284617e-05
A4,ARX,S,287,11,298,1.64221871397501,1.64230023596419,8.1471708011966e-05
A4,ARX,S,287,12,299,1.62205890320497,1.62217729084727,0.000118337981853347
A4,ARX,S,287,13,300,1.59928755935892,1.59945264073138,0.000165032412656357
A4,ARX,S,287,14,301,1.57409709612835,1.57431898884475,0.000221844531017874
A4,ARX,S,294,1,295,1.68541707086717,1.68541706482326,9.93232687330882e-09
A4,ARX,S,294,2,296,1.6740357447402,1.67403569715711,1.78118290623037e-08
A4,ARX,S,294,3,297,1.65959440698018,1.65959419752999,1.59330654606974e-07
A4,ARX,S,294,4,298,1.64221871397501,1.64221803591381,6.28453301678958e-07
A4,ARX,S,294,5,299,1.62205890320497,1.62205710457345,1.74963532050759e-06
A4,ARX,S,294,6,300,1.59928755935892,1.59928342194814,4.08910573733835e-06
A4,ARX,S,294,7,301,1.57409709612835,1.57408855547431,8.49311424116422e-06
A4,ARX,S,294,8,302,1.54669700289137,1.54668082253877,1.61336430253511e-05
A4,ARX,S,294,9,303,1.5173109094711,1.51728233362002,2.85300297100549e-05
A4,ARX,S,294,10,304,1.4861735247717,1.48612594415838,4.75357316694766e-05
A4,ARX,S,294,11,305,1.45352750631936,1.4534521816229,7.52807994216916e-05
A4,ARX,S,294,12,306,1.4196203175717,1.4195062116786,0.000114063018799886
A4,ARX,S,294,13,307,1.38470112835164,1.38453490258679,0.000166183944494491
A4,ARX,S,294,14,308,1.34901781099478,1.34878404044904,0.000233729803322169
A4,ARX,S,301,1,302,1.54669700289137,1.54669700348955,8.44997556000611e-09
A4,ARX,S,301,2,303,1.5173109094711,1.51731091626984,8.9803471140885e-09
A4,ARX,S,301,3,304,1.4861735247717,1.48617356416532,1.48399169051948e-08
