Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
ARX,Both,8,176,176,0.00657973460406062,0.00657973460406062,9.70604112757629e-05,0.0608581242964234,0.0613873994734381,0.0613873994734381,0.00717269605231115,0.00717269605231115,0.000796966228034572,0.000744936238967664,0.00469630446767734,0.000341527669381035,0.369318181818182,-0.418181818181818,0.541335227272727,0.0143654496587424
ARX,Both,9,176,176,0.00742584617893669,0.00742584617893669,0.000180971203452747,0.0630187092335604,0.06384172458679,0.06384172458679,0.00828471230546896,0.00828471230546896,0.000920523589496551,0.00101222820483272,0.00487137285430258,0.000621721530304846,0.352272727272727,-0.435227272727273,0.552982954545455,0.0188410159881784
ARX,Both,10,176,176,0.00907679814499637,0.00907679814499637,0.000312130251508997,0.0663784893975718,0.0676238736579444,0.0676238736579444,0.0102172280428159,0.0102172280428159,0.00113524756031288,0.00129612153002194,0.00500551288625366,0.00163991616840791,0.339488636363636,-0.448011363636364,0.562784090909091,0.0234742498766073
ARX,Both,11,176,176,0.0127014549507529,0.0127014549507529,0.000499716452171515,0.0857879972450542,0.087384914856135,0.087384914856135,0.01419064870847,0.01419064870847,0.00157673874538556,0.00159498693497079,0.00512280529142867,0.00440692397896788,0.330965909090909,-0.456534090909091,0.571448863636364,0.0281757214493314
ARX,Both,12,176,176,0.014611880751471,0.014611880751471,0.00076148117409643,0.0972353504704551,0.0991349614130435,0.0991349614130435,0.0164215228621826,0.0164215228621826,0.00182461365135362,0.00191133560150138,0.00525601686734049,0.00561991463127553,0.323863636363636,-0.463636363636364,0.575568181818182,0.0329153175098769
ARX,Both,13,176,176,0.0149373236490758,0.0149373236490758,0.00119417682970236,0.0928088249629697,0.0952476038524334,0.0952476038524334,0.0171760134556685,0.0171760134556685,0.00190844593951872,0.00221456884083773,0.00544403087101416,0.00537027799770517,0.316761363636364,-0.470738636363636,0.580539772727273,0.0375349789963887
ARX,Both,14,176,176,0.0155725857016571,0.0155725857016571,0.00167808812504841,0.0896927596823073,0.092772788103327,0.092772788103327,0.0182938670581788,0.0182938670581788,0.0020326518953532,0.00254020659676197,0.00569693878960709,0.0053027884199349,0.309659090909091,-0.477840909090909,0.585653409090909,0.0421480213782588
ARX,I,1,176,176,0.000830201665304651,0.000830201665304651,4.50002762472954e-08,0.00840962306513015,0.00842670304367301,0.00842670304367301,0.000831718135516816,0.000831718135516816,9.24131261685351e-05,1.77174589347191e-06,0.000734555269154445,1.4615240881992e-06,0.507102272727273,-0.280397727272727,0.435369318181818,4.54352964993231e-05
ARX,I,2,176,176,0.00172031840868305,0.00172031840868305,3.1276767029446e-07,0.0180395018728235,0.0180704359461686,0.0180704359461686,0.00173079140652984,0.00173079140652984,0.000192310156281093,1.09012848660347e-05,0.00150870247835657,8.40448917935038e-06,0.477272727272727,-0.310227272727273,0.447443181818182,0.000262238866189701
ARX,I,3,176,176,0.00265330951750507,0.00265330951750507,1.21932364259281e-06,0.0283120447638562,0.0283573351765373,0.0283573351765373,0.00269083071694155,0.00269083071694155,0.000298981190771283,3.75046100543057e-05,0.00229011852092097,2.67051957585175e-05,0.460227272727273,-0.327272727272727,0.460511363636364,0.000860086176744283
