na,nb,nk,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
10,1,6,0.00195180323715814,3.22673534544322e+21,0.0100808978304428,0.0101479205020678,8.06683836360806e+20,108
6,4,7,0.00429066383245901,6.44063428607918e+21,0.0109626954548852,0.028634096810618,1.61015857151979e+21,109
10,1,2,0.00228977068768627,8.37941872250048e+21,0.00929081264372568,0.0100760540717942,2.09485468062512e+21,110
7,3,7,0.00271645829728102,9.62367435493267e+21,0.0135772091033858,0.0245876294704423,2.40591858873317e+21,111
10,2,1,0.004993493294128,9.9964278018777e+21,0.126303634365239,0.0125122483738214,2.49910695046943e+21,112
6,4,6,0.00289644683236982,1.72107074865306e+22,0.0172503911456,0.0597581277595012,4.30267687163265e+21,113
12,1,3,0.00282051087799828,6.59205611995256e+22,0.0102962529471711,0.00873464360471284,1.64801402998814e+22,114
10,1,1,0.00219529711696296,9.09461824511269e+23,0.00895321487396108,0.00994243867329428,2.27365456127817e+23,115
11,2,1,0.00593615158646879,1.53010731122276e+24,0.067219918973145,0.0167761234081682,3.82526827805691e+23,116
6,5,7,0.00362043265351999,3.27816146360498e+24,0.0115837313418378,0.0325880876623399,8.19540365901244e+23,117
6,5,6,0.00293732541238296,9.76593375509183e+24,0.0175765840588376,0.0791128137276367,2.44148343877296e+24,118
7,4,7,0.00264761165896953,1.51774460387375e+25,0.0133397804291191,0.0309436347818358,3.79436150968438e+24,119
10,2,3,0.00524463137557977,4.40292833312265e+25,0.0953463280653444,0.042718753236835,1.10073208328066e+25,120
8,5,7,0.00276306370214129,4.41800327428961e+25,14497361601.8779,3.45859871355835,1.1045008185724e+25,121
10,2,5,0.00534275780613637,6.03682356106963e+25,0.0786369813153894,0.0660091989157303,1.50920589026741e+25,122
11,2,3,0.00654721723345032,1.29109888099956e+26,0.272129783951967,0.0566312702915415,3.22774720249889e+25,123
6,6,7,0.00312571614320102,3.61119792199201e+27,0.0123577789258121,0.0363023224076904,9.02799480498002e+26,124
6,6,6,0.00302748541469241,6.25722483472215e+27,0.0211695625105436,0.091602244094061,1.56430620868054e+27,125
7,2,2,0.00414077912610366,1.54428128724504e+19,1.21961174189522e+28,0.0747778907311574,3.04902935859875e+27,126
9,5,3,0.00239079817599671,2.85410825666728e+28,6.78541416002652e+18,473862.84711089,7.13527064336455e+27,127
10,2,7,0.00494380749295441,6.8733282201245e+28,0.077111292688398,0.0780683802880838,1.71833205503113e+28,128
9,5,4,0.0022226811410054,7.89669176744601e+28,3.69009909428632e+21,29585.8869955086,1.97417303411398e+28,129
9,5,2,0.00206844065076849,8.66198124184941e+28,1.6419862872367e+20,24108760.7963783,2.16549531456732e+28,130
7,5,7,0.0024958283647146,9.60385651589514e+28,0.0131858413462312,0.0357059343564228,2.40096412897379e+28,131
9,5,5,0.00226090091304745,1.58782108991586e+29,7.82497654371352e+24,14204.4608012462,3.96974834920325e+28,132
10,2,4,0.00529220572111684,8.16957498352182e+29,0.0953923103451175,0.0583532172539011,2.04239374588045e+29,133
8,6,7,0.0026330637032548,8.38436585987406e+29,4996443.10570625,6.59972753149062,2.09609146496852e+29,134
12,1,1,0.0032186390212341,1.08439451738233e+30,0.00909967826432764,0.00888106099112761,2.71098629345582e+29,135
12,1,2,0.00348206827032855,4.94662857813857e+30,0.00977707130724807,0.00881558357205493,1.23665714453464e+30,136
8,2,4,0.00177537513672525,8.59990206626201e+30,77238419.3650994,0.457936276720294,2.1499755165655e+30,137
14,1,3,0.00502297708269194,1.57743945030453e+31,0.0122693499095106,0.0117115792761395,3.94359862576133e+30,138
10,2,2,0.0052974444366949,2.17947875325425e+31,0.0957188104287673,0.0231178124646939,5.44869688313562e+30,139
7,6,7,0.00221339473828987,5.81189232683847e+31,0.0129583289997628,0.0395082905714013,1.45297308170962e+31,140
6,7,7,0.00284206940858613,6.0197069104e+31,0.0190872989180692,0.101777185635348,1.5049267276e+31,141
11,2,5,0.00624522487324981,1.7732466537992e+32,0.450271288215648,0.0872919137906258,4.433116634498e+31,142
10,5,2,0.00527265210133114,1.84407579228347e+32,129283767972856,41.1727109541284,4.61018948070868e+31,143
9,6,5,0.00189088004199363,3.19727267372075e+32,4.31715074521226e+25,1301.11054216765,7.99318276358957e+31,144
9,6,3,0.0018655864046904,4.79961920862895e+32,2.52339439886184e+21,13262269.2640719,1.19990480216355e+32,145
9,6,4,0.00175067033212158,6.81843781986214e+32,1.28600758773334e+26,413465.791305263,1.70460977646743e+32,146
8,7,7,0.0023722038608868,7.57228987677156e+32,12671258.7846772,12.5724038457896,1.89307246919289e+32,147
12,1,4,0.00400483164174747,1.1116943393819e+33,0.0106825105881945,0.00869097156283668,2.77923584845475e+32,148
10,5,4,0.00547589262479236,1.58761214677893e+33,2290.79106766739,4.79249124155111,3.96903036694732e+32,149
9,6,2,0.00193851153473634,1.96083318867163e+33,2.77658130927169e+20,3360545514.55288,4.90208297167976e+32,150
11,2,2,0.00613175711086109,8.67920008682742e+33,0.18382944862164,0.0300099470099184,2.16980002170686e+33,151
9,5,1,0.00220513639287072,3.36858105010904e+34,24278643752419.4,4762630585.36173,8.42145262527261e+33,152
7,6,6,0.0041450363105646,1.10511649873903e+32,1.26496240134088e+35,1.70883710181009,3.16516879459904e+34,153
7,7,7,0.00288874398953404,1.47261366209273e+35,0.0128152643295887,0.0402644765455855,3.68153415523182e+34,154
7,7,6,0.00407945992707708,1.78645916351351e+35,7.80743946469719e+32,3.05943682655869,4.48566650744552e+34,155
11,2,7,0.0062991063304432,1.85556067866293e+35,0.455946001255237,0.0995006542447375,4.63890169665734e+34,156
8,5,1,0.00225776314262609,8.65879473039494e+28,3.3929616888811e+35,139707151742242,8.48240638690144e+34,157
9,6,1,0.0021388424189786,3.84028769897583e+35,836842850335294,34675526902341,9.60071924743958e+34,158
9,7,1,0.00189744584948576,4.28936732857364e+35,5.27931160776885e+18,1.48379331675739e+18,1.07234183214341e+35,159
10,5,5,0.00564451617469636,6.89823603886522e+35,5879955.41285801,3.92532286947358,1.72455900971631e+35,160
12,1,6,0.00413521109196166,1.00390939472308e+36,0.0106215219571743,0.00867832972859504,2.50977348680771e+35,161
14,1,6,0.00649929975191965,1.2245802873182e+36,0.0119493689548196,0.0115386928523145,3.0614507182955e+35,162
9,7,3,0.00204665959538662,2.54896846846256e+36,9.97231372761701e+25,907189090.868676,6.3724211714057e+35,163
10,6,3,0.00580170601129218,3.97688699253216e+36,72208.4712741078,97.5374294725282,9.94221748133039e+35,164
14,1,5,0.00672294430684436,8.47281434748452e+36,0.0119508770025601,0.0116051120835431,2.11820358687113e+36,165
9,7,5,0.00188916421069777,8.52112927926713e+36,2.02216626636077e+23,19097.7711495807,2.13028231981683e+36,166
8,6,1,0.00347520501286426,9.69532491493941e+29,1.01418169469214e+37,1.35316454049042e+19,2.53545447911348e+36,167
10,6,5,0.0055142519399423,1.02646206664849e+37,147347121.119542,92.8206032061693,2.56615516662121e+36,168
10,6,2,0.00568353387263887,1.41917286883132e+37,33201544939392.3,710.730874504786,3.54793217207831e+36,169
13,1,1,0.00454210398510731,6.71183374753222e+37,0.0124228958591193,0.0105638659049813,1.67795843688305e+37,170
9,7,2,0.00190455583290781,7.6262412306242e+37,1.96364424492481e+21,1905254194600.6,1.90656030765605e+37,171
10,5,6,0.00535496365114398,7.87461132385436e+37,9086608.88085101,5.41240146152816,1.96865283096359e+37,172
11,2,4,0.00663345913441538,7.89655081007058e+37,0.365623540553631,0.074499525127575,1.97413770251765e+37,173
9,7,4,0.00190358867081449,1.368330878465e+38,2.78131830388708e+30,44287.1040274249,3.42082726569546e+37,174
11,6,3,0.0053556218467132,1.4982842364835e+38,2.27084200569446e+15,9.09080539745271,3.74571059120874e+37,175
13,1,7,0.00517857423642098,3.18213801293774e+38,0.0122195427162917,0.0102872604892954,7.95534503234436e+37,176
