na,nb,nk,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
0,7,4,3.27729541495078e+54,5.76111005723401e+27,1.30916572984225e+30+0i,0.165210677523854+0i,8.19323853737695e+53+0i,309
12,4,4,0.00328078379247642,8.38672090869958e+27,0.16303442953366+0i,4.87381839690478e+55+0i,1.2184545992262e+55+0i,310
14,7,1,0.00468650461839098,2.47910436819993e+47,2.59031407099045e+45+0i,8.1925776179771e+55+0i,2.04814441075679e+55+0i,311
14,4,4,0.00428084763410402,1.04525233190321e+42,2408898558.71752+0i,6.25886113778161e+56+0i,1.56471528444541e+56+0i,312
13,4,4,0.00417077010072241,9.44239902974406e+33,0.151464420524179+0i,8.31101395594809e+57+0i,2.07775348898702e+57+0i,313
7,3,4,0.0015393338197458,1.21906175913488e+58,0.413161720826978+0i,756.076143894334+0i,3.0476543978372e+57+0i,314
14,3,4,0.00441780844070965,1.01779847806035e+38,1.01059501546285e+60+0i,1.45017061286701e+58+0i,2.56274180397879e+59+0i,315
14,3,3,0.00433877431518685,3.41702594206188e+39,2.92781385241803e+61+0i,1.30955273767417e+47+0i,7.3195346310451e+60+0i,316
10,4,1,0.00179922486048757,1.3493874370993e+19,3.36797782199053e+62+0i,27531076.3555707+0i,8.41994455497632e+61+0i,317
14,3,5,0.00426017734761416,1.13826503459144e+40,5.86752758350389e+59+0i,2.11731119027391e+65+0i,5.29329264450372e+64+0i,318
13,3,4,0.00408748765192905,4.81835652723028e+24,0.0887170208892589+0i,2.20514189677054e+65+0i,5.51285474192636e+64+0i,319
7,2,4,0.00374674947345745,5.85790322912918e+65,0.0847022440735358+0i,0.600415878533156+0i,1.46447580728229e+65+0i,320
12,6,5,0.00303924380436306,2.01559897953318e+39,0.14752439842434+0i,4.09500669243023e+66+0i,1.02375167310756e+66+0i,321
14,5,5,0.0047710870353632,1.87358397179057e+37,1.46556460745609e+44+0i,5.12688097277129e+66+0i,1.28172024319282e+66+0i,322
7,1,3,4.19664325023627,6.42088528756002e+66,0.0100687119011609+0i,0.0077878369626863+0i,1.60522132189e+66+0i,323
3,3,1,0.000721829515214815,4.98691427348637e+49,1.41703568831303e+67+0i,29627907631638.9+0i,3.54258922078258e+66+0i,324
13,5,4,0.00443793195647389,1.37556373397791e+35,0.137017099025756+0i,6.8044647458043e+68+0i,1.70111618645108e+68+0i,325
11,2,7,0.00165623714773144,1.93234045661116e+70,0.159673657297026+0i,0.508840294709848+0i,4.83085114152789e+69+0i,326
