StrategyID,StrategyName,OrderTreatment,ParameterTreatment,Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,1,27,27,0.0134198708664936,0.0134198708664936,0.0122679500678188,0.00398268470383508,0.0173207041038109,0.0173207041038109,0.0142795451163301,0.0142795451163301,0.00158661612403668,0.0117530986489685,8.01560934884289e-05,0,0.990740740740741,0.203240740740741,0.2125,0.171872402176711
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,2,27,27,0.0184766190751958,0.0184766190751958,0.013792470577195,0.0134280582261771,0.0503976958308492,0.0503976958308492,0.034975470920923,0.034975470920923,0.00388616343565811,0.0115618774133791,0.00235134625505249,0.000677231971106124,0.87962962962963,0.0921296296296296,0.246759259259259,0.169076062752568
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,3,27,27,0.0445775732349922,0.0445775732349922,0.0142984498970016,0.106440670314544,0.146051518921486,0.146051518921486,0.0700703204897438,0.0700703204897438,0.00778559116552709,0.0115244752347619,0.0179959632925267,0.00727154354217655,0.787037037037037,-0.00046296296296296,0.28287037037037,0.168529108925532
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,4,27,27,0.0608116216647257,0.0608116216647257,0.0245579907403972,0.12075601608629,0.169424907207914,0.169424907207914,0.0986461379997452,0.0986461379997452,0.0109606819999717,0.0113844789500794,0.021532081548957,0.0169343791657177,0.592592592592593,-0.194907407407407,0.380092592592593,0.166481861772858
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,5,27,27,0.0697843069298539,0.0697843069298539,0.0302098756220112,0.122633649148841,0.176789036601151,0.176789036601151,0.110893115429093,0.110893115429093,0.0123214572698992,0.0112817729864748,0.0223811179537384,0.0237999587197414,0.527777777777778,-0.259722222222222,0.419907407407408,0.16497993268932
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,6,27,27,0.162848693112098,0.162848693112098,0.0410354448740239,0.378701164608998,0.435241649623637,0.435241649623637,0.208443289865358,0.208443289865358,0.0231603655405953,0.0111993428371566,0.0443891325183824,0.0840998522159637,0.453703703703704,-0.333796296296296,0.476388888888889,0.163774508639182
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,7,27,27,0.155245085375734,0.155245085375734,0.0341939133468253,0.365361186474608,0.419390618949857,0.419390618949857,0.201167634974317,0.201167634974317,0.0223519594415907,0.0111498439506212,0.041815237740086,0.0799280442434356,0.481481481481481,-0.306018518518518,0.444907407407408,0.163050657611635
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,8,27,27,0.130888910333038,0.130888910333038,0.0286424507056967,0.312524523967342,0.361124898161302,0.361124898161302,0.173476901563436,0.173476901563436,0.0192752112848262,0.0110962581906019,0.0375755405202125,0.0629419003373975,0.509259259259259,-0.278240740740741,0.420833333333333,0.162267041854459
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,9,27,27,0.104980083373678,0.104980083373678,0.0217903958840912,0.234643562883084,0.2813159663172,0.2813159663172,0.139864869135819,0.139864869135819,0.015540541015091,0.0110520211909527,0.0329236722803054,0.0454638488873293,0.574074074074074,-0.213425925925926,0.404166666666667,0.161620138461415
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,10,27,27,0.0937005386302078,0.0937005386302078,0.0224368364591596,0.18167314785928,0.232584620279487,0.232584620279487,0.129661509019062,0.129661509019062,0.0144068343354513,0.0110126962783048,0.0293422960957405,0.0389387119207112,0.601851851851852,-0.185648148148148,0.396759259259259,0.161045067375563
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,11,27,27,0.0899607515523767,0.0899607515523767,0.0224175556324952,0.152674392286119,0.208812880060261,0.208812880060261,0.129795032378764,0.129795032378764,0.0144216702643071,0.0109798247574967,0.0269132856060304,0.0376459709245424,0.537037037037037,-0.250462962962963,0.419907407407408,0.16056436799464
