DataSource,CountryCode,CountryName,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDate,WindowDayIdx,WindowWIS,WindowRawScaleWIS,WindowRMSE,WindowMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,IsValid,IntervalMethod,IntervalStatus,RecordedStatus,AICC
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,189,2020-09-27,190,0.0361131976709102,0.0361131976709102,0.0911341749221241,0.0737808786713237,0.00819787540792485,0.0254131180419801,3.34370263262273e-06,0.00249886051837258,0.928571428571429,0.141071428571429,0.2125,0.379816419792815,1,closed_loop_monte_carlo,ok,ok,-711.885630839211
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,196,2020-10-04,197,0.0381503713222551,0.0381503713222551,0.0978319604861311,0.0798788504640093,0.00887542782933436,0.0278865639612837,0.000308472992369602,0.00107990653926738,0.928571428571429,0.141071428571429,0.2125,0.41269520692452,1,closed_loop_monte_carlo,ok,ok,-744.88115140769
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,203,2020-10-11,204,0.0984307782031567,0.0984307782031567,0.273699871697885,0.221281625524943,0.0245868472805493,0.0239051995158947,0,0.0499387314067127,0.607142857142857,-0.180357142857143,0.333928571428571,0.361904448636059,1,closed_loop_monte_carlo,ok,ok,-776.0777888041
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,210,2020-10-18,211,0.191072727795411,0.191072727795411,0.386979641738429,0.314511709950726,0.0349457455500807,0.0253728946967197,0,0.130754087548611,0.357142857142857,-0.430357142857143,0.546428571428571,0.369557067563615,1,closed_loop_monte_carlo,ok,ok,-804.108434386441
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,217,2020-10-25,218,0.0673866795260324,0.0673866795260324,0.18433587241258,0.16538984104491,0.01837664900499,0.032929210013519,0.00484195861766302,0.0112388618898604,0.696428571428571,-0.0910714285714286,0.325,0.47459526692616,1,closed_loop_monte_carlo,ok,ok,-831.33136973456
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,224,2020-11-01,225,0.0809226950040876,0.0809226950040876,0.198786418209622,0.18940633571913,0.0210451484132366,0.0396436499572562,0.0202338966335947,0,0.625,-0.1625,0.333928571428571,0.590423549966563,1,closed_loop_monte_carlo,ok,ok,-850.036722105886
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,231,2020-11-08,232,0.0400150106967179,0.0400150106967179,0.0795089686861326,0.0676438117585377,0.00751597908428197,0.0324813022532383,1.77293591976239e-05,0,0.982142857142857,0.194642857142857,0.2125,0.47355532635914,1,closed_loop_monte_carlo,ok,ok,-877.395328989078
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,238,2020-11-15,239,0.0356265891412037,0.0356265891412037,0.0946400639039433,0.0825197255784972,0.00916885839761081,0.0218327298502044,0.00270269596782316,0.00192230492556539,0.803571428571429,0.0160714285714286,0.244642857142857,0.324796994932784,1,closed_loop_monte_carlo,ok,ok,-901.890628888491
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,245,2020-11-22,246,0.0314481480978941,0.0314481480978941,0.0519290742734728,0.0416044688990425,0.00462271876656027,0.0251681105435518,0,0.00165731878778203,0.928571428571429,0.141071428571429,0.2125,0.385889291345328,1,closed_loop_monte_carlo,ok,ok,-923.145758619371
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,252,2020-11-29,253,0.0314682022583309,0.0314682022583309,0.0722515301773259,0.0582815769034996,0.00647573076705551,0.0245481506670255,0,0.000444320824249842,0.964285714285714,0.176785714285714,0.2125,0.367287719365212,1,closed_loop_monte_carlo,ok,ok,-952.683520796822
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,259,2020-12-06,260,0.0342115719031769,0.0342115719031769,0.0666626096431848,0.0585564964274412,0.0065062773808268,0.0263322381866386,0.00137305633571145,0,0.910714285714286,0.123214285714286,0.248214285714286,0.382814948653025,1,closed_loop_monte_carlo,ok,ok,-985.854640793428
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,266,2020-12-13,267,0.0498503086453111,0.0498503086453111,0.132927678397103,0.0984774681554026,0.0109419409061558,0.0300848704142529,0.00882349732490236,0,0.803571428571429,0.0160714285714286,0.264285714285714,0.452967473858299,1,closed_loop_monte_carlo,ok,ok,-1015.05282642856
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,273,2020-12-20,274,0.040864145709446,0.040864145709446,0.105825761783298,0.0833629463924326,0.00926254959915917,0.0225975108410924,0.00847173692086322,0.000532348348331216,0.767857142857143,-0.0196428571428572,0.289285714285714,0.322394866400868,1,closed_loop_monte_carlo,ok,ok,-1044.1372763331
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,280,2020-12-27,281,0.0912475813364291,0.0912475813364291,0.188026548398843,0.160573098518876,0.0178414553909862,0.0198085847360617,0,0.0535975412093812,0.375,-0.4125,0.535714285714286,0.288627070481904,1,closed_loop_monte_carlo,ok,ok,-1056.26066654381
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,287,2021-01-03,288,0.0567631849716647,0.0567631849716647,0.134783414390551,0.11420740371601,0.0126897115240011,0.0284762416467513,0.0155972318009123,0,0.732142857142857,-0.0553571428571429,0.305357142857143,0.413875103208987,1,closed_loop_monte_carlo,ok,ok,-1077.44268883495
