Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
AR,None,11,136,136,0.0785854028738263,0.0785854028738263,0.045745711969329,0.0925565952292076,0.199787104194417,0.199787104194417,0.136245620276927,0.136245620276927,0.0151384022529919,0.0335539469987225,0.016463454372246,0.0134295992498658,0.779411764705882,-0.00808823529411767,0.294301470588235,0.523763119546685
AR,None,12,136,136,0.0777540531559382,0.0777540531559382,0.0473712773659818,0.0816904140429231,0.19647626272572,0.19647626272572,0.139859127237151,0.139859127237151,0.0155399030263501,0.0341359943228581,0.0148550692651269,0.0132230865416031,0.779411764705882,-0.00808823529411766,0.291360294117647,0.53394317331736
AR,None,13,136,136,0.0975432590754567,0.0975432590754567,0.0500614401676326,0.151995647866425,0.266635570122699,0.266635570122699,0.170068614045467,0.170068614045467,0.0188965126717185,0.0347038193892921,0.0175841545926936,0.0263587724217525,0.757352941176471,-0.0301470588235294,0.299264705882353,0.545902847466961
AR,None,14,136,136,0.0964182643174043,0.0964182643174043,0.0508370683661317,0.14797018208004,0.260276773245588,0.260276773245588,0.167725171545872,0.167725171545872,0.0186361301717635,0.0352521043693692,0.0170977298623431,0.0254322999139285,0.75,-0.0375,0.303308823529412,0.553575533442068
ARX,I,1,136,136,0.0131389233931065,0.0131389233931065,0.00888789290317213,0.0203000124698801,0.0356645577193699,0.0356645577193699,0.0210759855284614,0.0210759855284614,0.00234177616982904,0.0068454125247361,0.00229775472150158,0.00165397997703975,0.865808823529412,0.0783088235294117,0.252757352941177,0.110888668521436
ARX,I,2,136,136,0.0265308331001285,0.0265308331001285,0.0163358539291478,0.0406334261239725,0.0740568655232189,0.0740568655232189,0.0450581470321522,0.0450581470321522,0.00500646078135024,0.0125447288212258,0.00460106924931867,0.0043785742482338,0.840073529411765,0.0525735294117647,0.25827205882353,0.202062167037538
ARX,I,3,136,136,0.0423374456957224,0.0423374456957224,0.0229304905375659,0.0748182846332082,0.12252547272855,0.12252547272855,0.0696055465253828,0.0696055465253828,0.00773394961393142,0.0172608149581996,0.00936261179938994,0.00798006932420145,0.814338235294118,0.0268382352941176,0.278125,0.27543569232893
ARX,I,4,136,136,0.0572423879015705,0.0572423879015705,0.0299892233110589,0.0874181451033123,0.152590314574042,0.152590314574042,0.0944585535925043,0.0944585535925043,0.0104953948436116,0.0207846855447541,0.0121770254727261,0.0137852820404788,0.783088235294118,-0.00441176470588237,0.290625,0.330324346051504
ARX,I,5,136,136,0.0649397268309164,0.0649397268309164,0.0327319588650399,0.0925495753439694,0.170716849020672,0.170716849020672,0.109715548928818,0.109715548928818,0.0121906165476464,0.0236504932224081,0.0132909842040108,0.0158076328568511,0.766544117647059,-0.0209558823529412,0.30202205882353,0.376523983696766
ARX,I,6,136,136,0.0929554987300404,0.0929554987300404,0.0404545655994014,0.183284840650881,0.263588430565148,0.263588430565148,0.153898681657604,0.153898681657604,0.0170998535175116,0.0258921276287309,0.020250427017442,0.0297130905663559,0.716911764705882,-0.0705882352941177,0.322977941176471,0.41255329823194
ARX,I,7,136,136,0.0948660394684929,0.0948660394684929,0.0426871511925847,0.174571513004098,0.262733931626267,0.262733931626267,0.159825434758063,0.159825434758063,0.0177583816397848,0.0275597934554068,0.0206467350568995,0.0289011293164018,0.704044117647059,-0.0834558823529412,0.33014705882353,0.440024815482197
ARX,I,8,136,136,0.0839527175195793,0.0839527175195793,0.0422635714061542,0.141863938139477,0.228601958090142,0.228601958090142,0.141803041082587,0.141803041082587,0.0157558934536208,0.0288715633604823,0.01735857918364,0.0219666815218362,0.742647058823529,-0.0448529411764706,0.312316176470588,0.46024614223146
ARX,I,9,136,136,0.0767827120218178,0.0767827120218178,0.0437942483786253,0.106240055712941,0.20123782275865,0.20123782275865,0.135276623244033,0.135276623244033,0.0150307359160037,0.0300404807119745,0.0163232603826834,0.0153882350111562,0.759191176470588,-0.0283088235294118,0.306617647058824,0.472717724923961
ARX,I,10,136,136,0.0770803023273748,0.0770803023273748,0.0439749811693808,0.0937579609530627,0.196754561186895,0.196754561186895,0.141155643913359,0.141155643913359,0.0156839604348177,0.0308305838725677,0.0173823871442641,0.0131833708757252,0.766544117647059,-0.0209558823529412,0.297426470588235,0.486537682479845
ARX,I,11,136,136,0.0798249827371784,0.0798249827371784,0.0459500601636971,0.0941671599689942,0.203803206600907,0.203803206600907,0.14344030840513,0.14344030840513,0.0159378120450145,0.0318885422300506,0.0169355032837058,0.0150631251784074,0.751838235294118,-0.0356617647058824,0.309742647058824,0.503623627858544
ARX,I,12,136,136,0.0802608587319383,0.0802608587319383,0.0482877961312147,0.0856088702136666,0.200855671471682,0.200855671471682,0.145139572691893,0.145139572691893,0.0161266191879881,0.032454082093028,0.0149916465366061,0.016688510914316,0.755514705882353,-0.0319852941176471,0.301102941176471,0.509284761694008
ARX,I,13,136,136,0.100557847194806,0.100557847194806,0.0524666722545951,0.160486069883603,0.266207610361833,0.266207610361833,0.174184143824211,0.174184143824211,0.0193537937582457,0.0330260326060094,0.0182128122399506,0.0299652085905998,0.733455882352941,-0.0540441176470589,0.308088235294118,0.517054925071083
ARX,I,14,136,136,0.098720293945003,0.098720293945003,0.0551958863674255,0.154849488246193,0.263063319612377,0.263063319612377,0.174448869220061,0.174448869220061,0.0193832076911179,0.0336026102120989,0.0177383823955238,0.0279960936462625,0.727941176470588,-0.0595588235294118,0.307720588235294,0.525960915864593
