Model,ExoMode,Strategy,ForecastConfiguration,OriginPosition,OriginDate,LeadTime,TargetDate,TargetRtEstimated,MedianForecast,Error,AbsoluteError,SquaredError,WIS,MeanCoverage,MeanIntervalWidth
"AR","None","partA_fixed_fit","5",19,"06-May-2021",6,"12-May-2021",1.35465300474874,1.20216899988336,-0.152484004865377,0.152484004865377,0.0232513717397843,0.131207907512785,1,1.63502147617485
"AR","None","partA_fixed_fit","5",19,"06-May-2021",7,"13-May-2021",1.22048632108704,1.20137886644806,-0.0191074546389804,0.0191074546389804,0.000365094822780695,0.141577345320788,1,2.01279829833642
"AR","None","partA_fixed_fit","5",19,"06-May-2021",8,"14-May-2021",0.910292247563198,1.11322396688828,0.202931719325083,0.202931719325083,0.0411812827082343,0.133070868900897,1,1.55970263357873
"AR","None","partA_fixed_fit","5",19,"06-May-2021",9,"15-May-2021",0.588175839936643,1.12623303947069,0.538057199534043,0.538057199534043,0.289505549970417,0.185206262924309,0.75,1.41330980894925
"AR","None","partA_fixed_fit","5",19,"06-May-2021",10,"16-May-2021",0.913673400743292,0.982436916252255,0.068763515508963,0.068763515508963,0.00472842106515139,0.0876651449366156,1,1.22908303152228
"AR","None","partA_fixed_fit","5",19,"06-May-2021",11,"17-May-2021",0.336667822678584,0.951510239203801,0.614842416525217,0.614842416525217,0.378031197158568,0.279426623060798,0.5,1.76121870136384
"AR","None","partA_fixed_fit","5",19,"06-May-2021",12,"18-May-2021",0.532124496906547,1.00021580178361,0.468091304877066,0.468091304877066,0.219109469701514,0.188635688865795,0.75,1.50546729263736
"AR","None","partA_fixed_fit","5",19,"06-May-2021",13,"19-May-2021",1.28867593169524,0.98178664346793,-0.306889288227305,0.306889288227305,0.0941810352286618,0.124099119730956,1,1.461364418516
"AR","None","partA_fixed_fit","5",19,"06-May-2021",14,"20-May-2021",1.02206740089918,1.11395425130716,0.0918868504079851,0.0918868504079851,0.00844319327789942,0.108525541977842,1,1.46216543170435
"AR","None","partA_fixed_fit","5",20,"13-May-2021",1,"14-May-2021",0.910292247563198,1.41710320015975,0.506810952596554,0.506810952596554,0.256857341671826,0.20091439840605,0.75,1.43312217916144
"AR","None","partA_fixed_fit","5",20,"13-May-2021",2,"15-May-2021",0.588175839936643,1.28853027572359,0.700354435786949,0.700354435786949,0.490496335726455,0.276953128738514,0.5,1.76785996101686
"AR","None","partA_fixed_fit","5",20,"13-May-2021",3,"16-May-2021",0.913673400743292,0.887166916486725,-0.0265064842565669,0.0265064842565669,0.000702593707643628,0.0742351079226132,1,1.08965458654712
"AR","None","partA_fixed_fit","5",20,"13-May-2021",4,"17-May-2021",0.336667822678584,0.778375342310562,0.441707519631978,0.441707519631978,0.195105532899434,0.199396486317261,0.25,0.872200853983622
"AR","None","partA_fixed_fit","5",20,"13-May-2021",5,"18-May-2021",0.532124496906547,0.853973721686397,0.32184922477985,0.32184922477985,0.10358692349139,0.134672865494814,0.75,1.19245146408265
"AR","None","partA_fixed_fit","5",20,"13-May-2021",6,"19-May-2021",1.28867593169524,1.02366305621114,-0.265012875484091,0.265012875484091,0.0702318241723466,0.129736698126024,1,1.49963168163281
"AR","None","partA_fixed_fit","5",20,"13-May-2021",7,"20-May-2021",1.02206740089918,1.34147224102347,0.31940484012429,0.31940484012429,0.102019451894824,0.14025283018449,1,1.53066103604666
"AR","None","partA_fixed_fit","5",20,"13-May-2021",8,"21-May-2021",0.962552952029666,1.07462365477718,0.112070702747516,0.112070702747516,0.0125598424143221,0.111014269070489,1,1.36747222787472
"AR","None","partA_fixed_fit","5",20,"13-May-2021",9,"22-May-2021",0.703335697495307,0.994209771171944,0.290874073676637,0.290874073676637,0.0846077267372418,0.13224310284314,1,1.45435620879609
"AR","None","partA_fixed_fit","5",20,"13-May-2021",10,"23-May-2021",0.585472757122559,1.03750066720445,0.452027910081894,0.452027910081894,0.204329231493005,0.179823704487098,0.75,1.40179577659023
