Model,ExoMode,Strategy,ForecastConfiguration,OriginPosition,OriginDate,Alpha,NominalCoverage,EmpiricalCoverage,CoverageError,MeanIntervalWidth
"AR","None","partA_online_fit","5",22,"27-May-2021",0.5,0.5,0.285714285714286,-0.214285714285714,0.688178612207545
"AR","None","local_online_fit","7",1,"31-Dec-2020",0.05,0.95,0.714285714285714,-0.235714285714286,1.34772650763033
"AR","None","local_online_fit","7",1,"31-Dec-2020",0.1,0.9,0.714285714285714,-0.185714285714286,1.03237384930585
"AR","None","local_online_fit","7",1,"31-Dec-2020",0.2,0.8,0.571428571428571,-0.228571428571429,0.778495427978454
"AR","None","local_online_fit","7",1,"31-Dec-2020",0.5,0.5,0.0714285714285714,-0.428571428571429,0.380289445130044
"AR","None","local_online_fit","7",2,"07-Jan-2021",0.05,0.95,0.785714285714286,-0.164285714285714,1.19468888146653
"AR","None","local_online_fit","7",2,"07-Jan-2021",0.1,0.9,0.714285714285714,-0.185714285714286,0.933394273223682
"AR","None","local_online_fit","7",2,"07-Jan-2021",0.2,0.8,0.571428571428571,-0.228571428571429,0.705488123365636
"AR","None","local_online_fit","7",2,"07-Jan-2021",0.5,0.5,0.428571428571429,-0.0714285714285715,0.339708123786788
"AR","None","local_online_fit","7",3,"14-Jan-2021",0.05,0.95,0.785714285714286,-0.164285714285714,1.30740185190448
"AR","None","local_online_fit","7",3,"14-Jan-2021",0.1,0.9,0.642857142857143,-0.257142857142857,1.09675619309894
"AR","None","local_online_fit","7",3,"14-Jan-2021",0.2,0.8,0.571428571428571,-0.228571428571429,0.804577268302779
"AR","None","local_online_fit","7",3,"14-Jan-2021",0.5,0.5,0.428571428571429,-0.0714285714285715,0.399248623678341
"AR","None","local_online_fit","7",4,"21-Jan-2021",0.05,0.95,1,0.05,1.11414679289793
"AR","None","local_online_fit","7",4,"21-Jan-2021",0.1,0.9,0.928571428571429,0.0285714285714286,0.911224257222024
"AR","None","local_online_fit","7",4,"21-Jan-2021",0.2,0.8,0.857142857142857,0.0571428571428571,0.692658965667413
"AR","None","local_online_fit","7",4,"21-Jan-2021",0.5,0.5,0.571428571428571,0.0714285714285714,0.37202919784388
"AR","None","local_online_fit","7",5,"28-Jan-2021",0.05,0.95,1,0.05,1.20573196989937
"AR","None","local_online_fit","7",5,"28-Jan-2021",0.1,0.9,1,0.1,1.02256635070852
"AR","None","local_online_fit","7",5,"28-Jan-2021",0.2,0.8,0.785714285714286,-0.0142857142857143,0.733482208087111
"AR","None","local_online_fit","7",5,"28-Jan-2021",0.5,0.5,0.785714285714286,0.285714285714286,0.353290824970616
"AR","None","local_online_fit","7",6,"04-Feb-2021",0.05,0.95,1,0.05,1.23563734848121
"AR","None","local_online_fit","7",6,"04-Feb-2021",0.1,0.9,1,0.1,0.986098760911284
"AR","None","local_online_fit","7",6,"04-Feb-2021",0.2,0.8,0.928571428571429,0.128571428571429,0.749287430037758
"AR","None","local_online_fit","7",6,"04-Feb-2021",0.5,0.5,0.642857142857143,0.142857142857143,0.386220779735648
"AR","None","local_online_fit","7",7,"11-Feb-2021",0.05,0.95,1,0.05,1.30491663695718
"AR","None","local_online_fit","7",7,"11-Feb-2021",0.1,0.9,1,0.1,1.03295957043638
"AR","None","local_online_fit","7",7,"11-Feb-2021",0.2,0.8,1,0.2,0.791381876989334
"AR","None","local_online_fit","7",7,"11-Feb-2021",0.5,0.5,0.928571428571429,0.428571428571429,0.410783881477338
"AR","None","local_online_fit","7",8,"18-Feb-2021",0.05,0.95,1,0.05,1.32928262803293
"AR","None","local_online_fit","7",8,"18-Feb-2021",0.1,0.9,1,0.1,1.1239910657171
"AR","None","local_online_fit","7",8,"18-Feb-2021",0.2,0.8,1,0.2,0.844540519424287
"AR","None","local_online_fit","7",8,"18-Feb-2021",0.5,0.5,0.714285714285714,0.214285714285714,0.418183546017706
"AR","None","local_online_fit","7",9,"25-Feb-2021",0.05,0.95,1,0.05,1.30010294885562
"AR","None","local_online_fit","7",9,"25-Feb-2021",0.1,0.9,1,0.1,1.1067420016569
"AR","None","local_online_fit","7",9,"25-Feb-2021",0.2,0.8,0.928571428571429,0.128571428571429,0.81235413890249
"AR","None","local_online_fit","7",9,"25-Feb-2021",0.5,0.5,0.714285714285714,0.214285714285714,0.429512778172394
"AR","None","local_online_fit","7",10,"04-Mar-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,1.25613055563481
"AR","None","local_online_fit","7",10,"04-Mar-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.05871372529521
"AR","None","local_online_fit","7",10,"04-Mar-2021",0.2,0.8,0.857142857142857,0.0571428571428571,0.790218168608445
"AR","None","local_online_fit","7",10,"04-Mar-2021",0.5,0.5,0.714285714285714,0.214285714285714,0.42628401782229
"AR","None","local_online_fit","7",11,"11-Mar-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,1.296587591215
"AR","None","local_online_fit","7",11,"11-Mar-2021",0.1,0.9,0.928571428571429,0.0285714285714286,0.986563488133374
"AR","None","local_online_fit","7",11,"11-Mar-2021",0.2,0.8,0.928571428571429,0.128571428571429,0.712287241011683
"AR","None","local_online_fit","7",11,"11-Mar-2021",0.5,0.5,0.642857142857143,0.142857142857143,0.352590030697799
"AR","None","local_online_fit","7",12,"18-Mar-2021",0.05,0.95,1,0.05,1.42589090847131
"AR","None","local_online_fit","7",12,"18-Mar-2021",0.1,0.9,1,0.1,1.16814929165977
"AR","None","local_online_fit","7",12,"18-Mar-2021",0.2,0.8,1,0.2,0.830384835862346
"AR","None","local_online_fit","7",12,"18-Mar-2021",0.5,0.5,1,0.5,0.412570525396833
"AR","None","local_online_fit","7",13,"25-Mar-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,1.42781676059776
"AR","None","local_online_fit","7",13,"25-Mar-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.08319171273491
"AR","None","local_online_fit","7",13,"25-Mar-2021",0.2,0.8,0.928571428571429,0.128571428571429,0.797978105705182
"AR","None","local_online_fit","7",13,"25-Mar-2021",0.5,0.5,0.785714285714286,0.285714285714286,0.404136074755335
"AR","None","local_online_fit","7",14,"01-Apr-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,1.50966447787236
"AR","None","local_online_fit","7",14,"01-Apr-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.15741631266304
"AR","None","local_online_fit","7",14,"01-Apr-2021",0.2,0.8,0.857142857142857,0.0571428571428571,0.815017347322528
"AR","None","local_online_fit","7",14,"01-Apr-2021",0.5,0.5,0.642857142857143,0.142857142857143,0.432240077699581
"AR","None","local_online_fit","7",15,"08-Apr-2021",0.05,0.95,1,0.05,1.25875402579991
"AR","None","local_online_fit","7",15,"08-Apr-2021",0.1,0.9,0.928571428571429,0.0285714285714286,0.97937405128719
"AR","None","local_online_fit","7",15,"08-Apr-2021",0.2,0.8,0.928571428571429,0.128571428571429,0.744549517979162
"AR","None","local_online_fit","7",15,"08-Apr-2021",0.5,0.5,0.5,0,0.362631177019051
"AR","None","local_online_fit","7",16,"15-Apr-2021",0.05,0.95,1,0.05,1.40736439142313
"AR","None","local_online_fit","7",16,"15-Apr-2021",0.1,0.9,1,0.1,1.12170930527728
"AR","None","local_online_fit","7",16,"15-Apr-2021",0.2,0.8,0.857142857142857,0.0571428571428571,0.862001168506027
"AR","None","local_online_fit","7",16,"15-Apr-2021",0.5,0.5,0.571428571428571,0.0714285714285714,0.425535677536299
"AR","None","local_online_fit","7",17,"22-Apr-2021",0.05,0.95,1,0.05,1.09994169924346
"AR","None","local_online_fit","7",17,"22-Apr-2021",0.1,0.9,1,0.1,0.899308226494226
"AR","None","local_online_fit","7",17,"22-Apr-2021",0.2,0.8,1,0.2,0.678714507101048
"AR","None","local_online_fit","7",17,"22-Apr-2021",0.5,0.5,0.714285714285714,0.214285714285714,0.35628335763501
"AR","None","local_online_fit","7",18,"29-Apr-2021",0.05,0.95,1,0.05,1.07121511328316
"AR","None","local_online_fit","7",18,"29-Apr-2021",0.1,0.9,1,0.1,0.912400267669149
"AR","None","local_online_fit","7",18,"29-Apr-2021",0.2,0.8,1,0.2,0.709326103114088
"AR","None","local_online_fit","7",18,"29-Apr-2021",0.5,0.5,0.714285714285714,0.214285714285714,0.368049377432397
"AR","None","local_online_fit","7",19,"06-May-2021",0.05,0.95,1,0.05,1.19170884984035
"AR","None","local_online_fit","7",19,"06-May-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.00171932569842
"AR","None","local_online_fit","7",19,"06-May-2021",0.2,0.8,0.857142857142857,0.0571428571428571,0.733228887517872
"AR","None","local_online_fit","7",19,"06-May-2021",0.5,0.5,0.571428571428571,0.0714285714285714,0.354170560693056
"AR","None","local_online_fit","7",20,"13-May-2021",0.05,0.95,0.857142857142857,-0.0928571428571429,1.07756301448476
"AR","None","local_online_fit","7",20,"13-May-2021",0.1,0.9,0.785714285714286,-0.114285714285714,0.882723836796941
"AR","None","local_online_fit","7",20,"13-May-2021",0.2,0.8,0.642857142857143,-0.157142857142857,0.627069035218847
"AR","None","local_online_fit","7",20,"13-May-2021",0.5,0.5,0.357142857142857,-0.142857142857143,0.322956601528905
"AR","None","local_online_fit","7",21,"20-May-2021",0.05,0.95,0.428571428571429,-0.521428571428571,0.952312830514915
"AR","None","local_online_fit","7",21,"20-May-2021",0.1,0.9,0.428571428571429,-0.471428571428571,0.775216919690563
"AR","None","local_online_fit","7",21,"20-May-2021",0.2,0.8,0.428571428571429,-0.371428571428571,0.56235415158181
"AR","None","local_online_fit","7",21,"20-May-2021",0.5,0.5,0.285714285714286,-0.214285714285714,0.288020945309647
"AR","None","local_online_fit","7",22,"27-May-2021",0.05,0.95,0.5,-0.45,0.886286295636722
"AR","None","local_online_fit","7",22,"27-May-2021",0.1,0.9,0.428571428571429,-0.471428571428571,0.711449971021443
