Model,ExoMode,Strategy,LeadTime,NumForecasts,MeanWIS,MedianWIS,MeanAbsoluteError,MeanSquaredError,RMSE,MeanError,MeanCoverage,MeanIntervalWidth
"AR","None","partA_fixed_fit",6,22,0.19449086958957,0.154536749903272,0.390188789153577,0.299587266936303,0.547345655812031,-0.374095898926915,0.863636363636364,1.59253934986237
"AR","None","partA_fixed_fit",7,22,0.162256843101196,0.158639203722518,0.299145599358122,0.115278735515123,0.339527223525776,-0.228098792938486,0.943181818181818,1.86291517324756
"AR","None","partA_fixed_fit",8,22,0.178480507409435,0.160009649268274,0.297550833401582,0.134755466303367,0.36709054237799,-0.0888293318362341,0.931818181818182,1.86088136976977
"AR","None","partA_fixed_fit",9,22,0.161511263055036,0.141122693321992,0.223166444690144,0.0999726306141856,0.316184488256754,-0.00562823202082699,0.897727272727273,1.74177947495549
"AR","None","partA_fixed_fit",10,22,0.152863512666919,0.121918267045306,0.226195326287751,0.096960511709185,0.311384828964394,0.20899495046175,0.863636363636364,1.58340756252969
"AR","None","partA_fixed_fit",11,22,0.282515843762969,0.268520057242798,0.606083796549365,0.384977092008417,0.620465222239262,0.573396366235132,0.340909090909091,1.53421031255316
"AR","None","partA_fixed_fit",12,22,0.203612527240893,0.20525665975603,0.475837334787376,0.250418680822588,0.500418505675587,0.399531057001281,0.636363636363636,1.55832156975376
"AR","None","partA_fixed_fit",13,22,0.193049840750449,0.151545713950909,0.402783494219718,0.278085552297731,0.527338176408394,-0.383337792007744,0.886363636363636,1.75431254112767
"AR","None","partA_fixed_fit",14,22,0.178327417246325,0.163874937286447,0.409821680299281,0.212795597558868,0.461297732011407,-0.364850158820385,0.886363636363636,1.69089260982023
"ARX","I","partA_online_fit",1,22,0.147776988543651,0.113848881958397,0.225930048231208,0.1201377811642,0.346608974442671,0.104870956588047,0.920454545454545,1.36665682222414
"ARX","I","partA_online_fit",2,22,0.158192813957698,0.106553782700756,0.307921305745921,0.187706470787213,0.433251048224021,0.0174693356363997,0.863636363636364,1.29135095452378
"ARX","I","partA_online_fit",3,22,0.11389862443812,0.0843112294295422,0.212274757069846,0.0875795188956919,0.295938370097039,0.0174889557954931,0.886363636363636,0.940470474425225
"ARX","I","partA_online_fit",4,22,0.161484932310786,0.151847144394192,0.374356151780436,0.150926594060029,0.388492720729783,0.325682930480748,0.534090909090909,0.956606090402938
"ARX","I","partA_online_fit",5,22,0.144345199151972,0.113378067341876,0.303867836186403,0.12916392145923,0.359393825015442,0.191125503742974,0.818181818181818,1.18297112262838
"ARX","I","partA_online_fit",6,22,0.224126311776494,0.163266766820805,0.477223541138002,0.37689557123256,0.61391821216882,-0.471644356005768,0.829545454545455,1.57144052312773
"ARX","I","partA_online_fit",7,22,0.171889783347635,0.156615828360401,0.370076491996724,0.193964829981522,0.440414384394427,-0.323612089779253,0.897727272727273,1.81253415288937
"ARX","I","partA_online_fit",8,22,0.165492806109056,0.14433267941754,0.263921688069583,0.115176897843537,0.339377220572532,-0.11304979053046,0.909090909090909,1.75046057838897
"ARX","I","partA_online_fit",9,22,0.152343875925277,0.136399790831932,0.257600224979984,0.106602202900897,0.326499927872729,-0.0426398592935502,0.909090909090909,1.62261720372616
"ARX","I","partA_online_fit",10,22,0.137913523452553,0.114367877843705,0.19246024146191,0.0777862512449203,0.278901866693144,0.160229972191945,0.897727272727273,1.49180586035175
"ARX","I","partA_online_fit",11,22,0.242087478184359,0.216847297977356,0.540021793997354,0.304995290133709,0.552263786730317,0.483703012102107,0.386363636363636,1.38809116459177
"ARX","I","partA_online_fit",12,22,0.153608099969382,0.154876694829618,0.337292753176853,0.146964722101497,0.383359781538826,0.251064076923548,0.795454545454545,1.45299533159056
"ARX","I","partA_online_fit",13,22,0.229928488411664,0.196643524590062,0.537483689306575,0.405340154660481,0.636663297717468,-0.537483689306575,0.806818181818182,1.57956591280217
"ARX","I","partA_online_fit",14,22,0.207502447799855,0.198910612181206,0.532543972547573,0.344915224281092,0.58729483590535,-0.499030596662666,0.818181818181818,1.68452858013722
"ARX","I","local_online_fit",1,22,0.137331358111391,0.0976543138070901,0.216481341441722,0.0870260340889239,0.295001752687885,-0.0420773626585533,0.806818181818182,1.13437879187512
"ARX","I","local_online_fit",2,22,0.15055966009583,0.114074950990158,0.25938743692128,0.134464056084027,0.366693408836356,0.0974540518422666,0.829545454545455,1.25117135003871
"ARX","I","local_online_fit",3,22,0.103687814949223,0.0776470412383901,0.215359919561335,0.0646138160059447,0.254192478263903,-0.110195122291835,0.727272727272727,0.654080434565245
"ARX","I","local_online_fit",4,22,0.103594010926766,0.0546246092592074,0.197395228396164,0.0778148460898514,0.278953125255573,0.107096462583478,0.704545454545455,0.534554627447079
"ARX","I","local_online_fit",5,22,0.115068583019021,0.0819758857437988,0.253219300519334,0.108476311018333,0.329357421380379,0.157269290453966,0.75,0.837454258445166
"ARX","I","local_online_fit",6,22,0.180899567054759,0.131827034579741,0.324910016892959,0.231757381298959,0.481411862441048,-0.202623695274748,0.909090909090909,1.44938299507751
"ARX","I","local_online_fit",7,22,0.139339461839499,0.131147482425544,0.243142317950499,0.0857228290988702,0.292784612127875,-0.142798245100698,0.920454545454545,1.57322030083261
"ARX","I","local_online_fit",8,22,0.160856347629656,0.136306597796734,0.22231371769996,0.0858924680275146,0.293074168134134,0.0262871355725409,0.909090909090909,1.71743353501748
"ARX","I","local_online_fit",9,22,0.15047236305485,0.11657896418406,0.266111341934911,0.118197373174239,0.343798448475613,-0.0312193685735484,0.818181818181818,1.31998899581374
"ARX","I","local_online_fit",10,22,0.0967444588376615,0.0890889346656536,0.209004050463438,0.0562507969004199,0.237172504520275,-0.0978105708961615,0.829545454545455,0.884007008903034
"ARX","I","local_online_fit",11,22,0.147060691175549,0.106195063418333,0.314539393432616,0.12272557675825,0.350322104295819,0.248961835925951,0.534090909090909,0.814707855608478
"ARX","I","local_online_fit",12,22,0.140274191309779,0.134720403412972,0.319774171046755,0.137580009106381,0.370917792922341,0.263047657461046,0.738636363636364,1.18184528871767
"ARX","I","local_online_fit",13,22,0.189582882136012,0.152283323154295,0.427245960988492,0.282526925536578,0.531532619447366,-0.351908142295304,0.863636363636364,1.52867361087672
"ARX","I","local_online_fit",14,22,0.154506748657669,0.150028195460181,0.282671289058402,0.113269577058867,0.336555459113155,-0.219943083398143,0.931818181818182,1.72611916104516
"ARX","I","partA_fixed_fit",1,22,0.167095644530699,0.128075628125768,0.292769413716533,0.151454217474865,0.389171193017758,0.23473202974003,0.886363636363636,1.5013146934858
"ARX","I","partA_fixed_fit",2,22,0.156485327201884,0.111041914943799,0.259950187123778,0.142286003771341,0.37720817034012,0.136329501134275,0.886363636363636,1.42444631659937
