CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Scenario,ScenarioName,Model,ExoMode,NumWindows,NumValidWindows,NumFailedWindows,FailureRate,MeanWIS,MedianWIS,StdWIS,MeanRMSE,MeanMAE,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A2,Policy Intervention,AR,None,44,44,0,0,0.0478670037950018,0.0249351216383132,0.0995715145326229,0.0826557291001431,0.0749016295967416,0.897321428571429,0.109821428571429,0.239366883116883,0.31970701049396,0.00832240328852684,0.0219479840056662,0.0169266984303774,0.000669918070431369
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A2,Policy Intervention,ARX,I,44,44,0,0,0.050068809839458,0.0264834158412915,0.098050826180431,0.0895527974969992,0.080799531945724,0.886363636363636,0.0988636363636364,0.242288961038961,0.326057652061012,0.00897772577174712,0.0223813844300152,0.0175545002509035,0.00115519938679222
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A3,Damping Resurgence,AR,None,44,44,0,0,0.0649055663125006,0.0594071300786906,0.0352721407591544,0.15403700508131,0.138578558289213,0.83400974025974,0.0465097402597403,0.239650974025974,0.554175138474179,0.0153976175876903,0.0373329824458792,0.00605906934642779,0.00611589693250325
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A3,Damping Resurgence,ARX,I,44,43,1,0.0227272727272727,0.100981226803181,0.056460228456244,0.113308671417291,0.243851918724432,0.202469690723002,0.760382059800664,-0.0271179401993356,0.281436877076412,0.677739494480518,0.0224966323025558,0.0445894533648193,0.0204129434468937,0.0134821976889127
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A4,Amplifying Resurgence,AR,None,44,44,0,0,0.0562484483785591,0.051867358273842,0.0219247181634413,0.136407514632749,0.121626044529069,0.837662337662338,0.0501623376623377,0.241599025974026,0.490332585741823,0.0135140049476744,0.0333854739355732,0.00242090508567248,0.00692806440963909
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A4,Amplifying Resurgence,ARX,I,44,44,0,0,0.0626263698264405,0.0528227233766282,0.0345733558267093,0.150807105294437,0.132058163147403,0.808035714285714,0.0205357142857143,0.253733766233766,0.497906070645015,0.0146731292386003,0.0335633645895799,0.00585883411206389,0.00853104188619645
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,44,44,0,0,6.72163312876369e-07,2.44568363267599e-08,2.63951862735689e-06,1.68830155459058e-06,8.95656619229082e-07,0.547483766233766,-0.240016233766234,0.426461038961039,8.47279965381168e-07,9.95174021365647e-08,5.72285455831051e-08,9.43301153939211e-09,5.05984353617307e-07
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,ARX,I,44,44,0,0,3.16607204319688e-08,1.53356372960994e-08,4.56617477404266e-08,8.03904181898573e-08,4.01618175956113e-08,0.329545454545455,-0.457954545454546,0.570292207792208,2.8588265350524e-08,4.46242417729014e-09,2.01917148853454e-09,8.14882230432223e-09,1.70303024618219e-08
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A2,Policy Intervention,AR,None,44,44,0,0,0.0210709798179332,0.00505263374568912,0.0714638537042075,0.0325472719304271,0.0248189539033844,0.646915584415584,-0.140584415584416,0.366842532467532,0.0659066874752773,0.00275766154482049,0.00363614667732457,0.0146726550962352,4.51649955294385e-06
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A2,Policy Intervention,ARX,I,44,40,4,0.0909090909090909,0.00489146368052342,0.00547433170729156,0.0030406433829278,0.0125391479179753,0.00859213185157786,0.620982142857143,-0.166517857142857,0.353616071428572,0.065323112790663,0.000954681316841985,0.00366240853906384,0.000273883721688625,4.90102928973361e-07
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A3,Damping Resurgence,AR,None,44,44,0,0,3.88613550767991e-05,2.64170120983389e-05,3.09074930307471e-05,0.000139391758814948,7.3089620187584e-05,0.58198051948052,-0.205519480519481,0.398417207792208,0.000136703996576611,8.12106890973156e-06,9.25428335581634e-06,1.04740345545709e-05,1.10119682566803e-05
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A3,Damping Resurgence,ARX,I,44,44,0,0,5.55569176767121e-05,2.23282913453736e-05,8.42530609286616e-05,0.00014480445961162,7.09009840663928e-05,0.389204545454545,-0.398295454545455,0.526258116883117,5.8068671963021e-05,7.87788711848809e-06,4.03880281469824e-06,2.79325030348243e-05,1.57077247087015e-05
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A4,Amplifying Resurgence,AR,None,44,44,0,0,4.36542273087913e-05,2.72650232120511e-05,3.89374986375589e-05,0.000145560667838276,7.60800338983515e-05,0.527597402597403,-0.259902597402597,0.432751623376623,0.00012428791833896,8.45333709981683e-06,8.48735396000336e-06,1.28976529762907e-05,1.38158832726805e-05
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A4,Amplifying Resurgence,ARX,I,44,44,0,0,5.12177101710696e-05,2.78720149492292e-05,6.36659789860953e-05,0.000137504597279708,6.72817908868299e-05,0.314935064935065,-0.472564935064935,0.575,5.22164968413841e-05,7.4757545429811e-06,3.62899695440507e-06,2.6362275019874e-05,1.37506836538095e-05
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,AR,None,44,44,0,0,6.72163312876369e-07,2.44568363267599e-08,2.63951862735689e-06,1.68830155459058e-06,8.95656619229082e-07,0.547483766233766,-0.240016233766234,0.426461038961039,8.47279965381168e-07,9.95174021365647e-08,5.72285455831051e-08,9.43301153939211e-09,5.05984353617307e-07
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,44,44,0,0,2.15552687399334e-07,3.7181706731251e-08,6.75524154039764e-07,4.40412183693339e-07,2.23450033422458e-07,0.246347402597403,-0.541152597402597,0.627597402597403,2.58356760081888e-08,2.48277814913842e-08,1.83021582389435e-09,5.90788962153433e-08,1.29815793868713e-07
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A2,Policy Intervention,AR,None,44,44,0,0,0.0210709798179332,0.00505263374568912,0.0714638537042075,0.0325472719304271,0.0248189539033844,0.646915584415584,-0.140584415584416,0.366842532467532,0.0659066874752773,0.00275766154482049,0.00363614667732457,0.0146726550962352,4.51649955294385e-06
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A2,Policy Intervention,ARX,I,44,40,4,0.0909090909090909,0.00495146553913818,0.00574708511699142,0.00293958440389916,0.0130933844517319,0.00898105902124383,0.611607142857143,-0.175892857142857,0.355223214285715,0.0646761006098347,0.00099789544680487,0.00364825381540493,0.000303303199033924,2.01307789446099e-06
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A3,Damping Resurgence,AR,None,44,44,0,0,3.88613550767991e-05,2.64170120983389e-05,3.09074930307471e-05,0.000139391758814948,7.3089620187584e-05,0.58198051948052,-0.205519480519481,0.398417207792208,0.000136703996576611,8.12106890973156e-06,9.25428335581634e-06,1.04740345545709e-05,1.10119682566803e-05
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A3,Damping Resurgence,ARX,I,44,44,0,0,4.9349179410699e-05,3.33750061737672e-05,6.61127874839882e-05,0.00013213154113734,6.54896203475954e-05,0.364042207792208,-0.423457792207792,0.535917207792208,5.71196249405805e-05,7.27662448306615e-06,3.96307010969525e-06,2.02411469227004e-05,1.78683378952372e-05
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A4,Amplifying Resurgence,AR,None,44,44,0,0,4.36542273087913e-05,2.72650232120511e-05,3.89374986375589e-05,0.000145560667838276,7.60800338983515e-05,0.527597402597403,-0.259902597402597,0.432751623376623,0.00012428791833896,8.45333709981683e-06,8.48735396000336e-06,1.28976529762907e-05,1.38158832726805e-05
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A4,Amplifying Resurgence,ARX,I,44,44,0,0,4.67741693962612e-05,2.69397612860505e-05,5.9764238238039e-05,0.000124410478274432,6.15873419952197e-05,0.366477272727273,-0.421022727272727,0.545089285714286,5.08593643899668e-05,6.84303799946885e-06,3.55203774449397e-06,1.64861360501269e-05,1.98929576021715e-05
