Case,Model,ExoMode,HorizonIdx,MeanWIS,MeanAbsoluteError,MeanSquaredError,RMSE,MeanCoverage,MeanIntervalWidth
process_noise,AR,None,1,0.000133450218755773,0.000247444628161393,3.4111313102156e-07,0.000584048911497624,0.582386363636364,0.000889254573282814
process_noise,AR,None,2,0.000402405951152257,0.000725206314717043,2.52208857344264e-06,0.00158810848919167,0.509943181818182,0.00215663930453266
process_noise,AR,None,3,0.000808704876435672,0.00142600632259463,8.0221748638622e-06,0.00283234441123642,0.478693181818182,0.00365334147373391
process_noise,AR,None,4,0.00133460634481358,0.00233115123243078,1.86938776300239e-05,0.00432364170925667,0.448863636363636,0.00538856091193049
process_noise,AR,None,5,0.00198863117486024,0.00343886656540811,3.59563962445939e-05,0.0059963652527672,0.430397727272727,0.00729547269069485
process_noise,AR,None,6,0.00274185777087914,0.00474691611738041,6.04686698026676e-05,0.00777616035088447,0.420454545454546,0.00937079055304307
process_noise,AR,None,7,0.00359377352997148,0.00617345021956579,9.20747126963142e-05,0.00959555692476024,0.404829545454545,0.0115763674514971
process_noise,AR,None,8,0.00454171306191285,0.00778603088747392,0.000138233324924653,0.0117572668985888,0.393465909090909,0.0139330198454261
process_noise,AR,None,9,0.00560703139687699,0.00957544816751851,0.000199312163997937,0.014117796003553,0.375,0.0163836982995253
process_noise,AR,None,10,0.00678386563023506,0.0115358073847404,0.000279162926170285,0.016708169444026,0.357954545454545,0.0189340705052693
process_noise,AR,None,11,0.00809972721507134,0.013543753667041,0.000379316431924356,0.0194760476463875,0.349431818181818,0.021580812565741
process_noise,AR,None,12,0.00952242194947903,0.0157585464971652,0.000513532822865389,0.0226612626052784,0.342329545454545,0.0243703193188144
process_noise,AR,None,13,0.0110329413183119,0.0180287559085901,0.000674472007497177,0.0259705989052462,0.34375,0.0272415841296387
process_noise,AR,None,14,0.0126704158494156,0.0204328373378274,0.000877355964227425,0.0296201952091377,0.330965909090909,0.030134171622669
process_noise,ARX,I,1,0.000139253462131231,0.000250718890168886,2.78730066594715e-07,0.000527948924229148,0.501957070707071,0.000838831590630404
process_noise,ARX,I,2,0.000458326434412596,0.00077640134359273,2.50266045194816e-06,0.00158197991515321,0.433585858585859,0.00199812821418464
process_noise,ARX,I,3,0.000979442075948539,0.00159030898143701,1.05439910939666e-05,0.00324715122745563,0.393560606060606,0.00335821337672684
process_noise,ARX,I,4,0.00172602582459564,0.00270833433488428,3.13597754039473e-05,0.0055999799467451,0.356818181818182,0.00492443121738389
process_noise,ARX,I,5,0.00271842613379209,0.00413206644081402,7.57784938560998e-05,0.00870508436812073,0.331013257575758,0.00665502463662349
process_noise,ARX,I,6,0.00395422678764852,0.00588287270905961,0.000159014181581183,0.0126100825366523,0.309296085858586,0.00853203987622421
