CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Alpha,NominalCoverage,LowerBound,UpperBound,Coverage,IntervalMethod,IntervalStatus,IntervalWidth,CoverageError,AbsoluteCoverageError,IntervalScore,WISIntervalComponent,WISSharpnessComponent,WISUnderpredictionComponent,WISOverpredictionComponent,ReplicateID,ReplicateIndex,NumReplicates
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,7,56,1.48106440388863,0.5,0.5,1.48167762854577,1.48173953679503,0,closed_loop_monte_carlo,ok,6.19082492572254e-05,-0.5,0.5,0.00251480687783401,0.000139711493213,3.43934718095697e-06,0.000136272146032043,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,1,57,1.47728721665793,0.05,0.95,1.47729241517617,1.47730487385987,0,closed_loop_monte_carlo,ok,1.24586837042528e-05,-0.95,0.95,0.000220399413246142,1.22444118470079e-06,6.92149094680714e-08,1.15522627523272e-06,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,2,58,1.47318138902826,0.05,0.95,1.47320506844861,1.47325066261198,0,closed_loop_monte_carlo,ok,4.55941633681345e-05,-0.95,0.95,0.000992770977114033,5.51539431730018e-06,2.53300907600747e-07,5.26209340969943e-06,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,3,59,1.46875178722047,0.05,0.95,1.46881762241769,1.46889845041906,0,closed_loop_monte_carlo,ok,8.08280013648854e-05,-0.95,0.95,0.00271423589007735,1.50790882782075e-05,4.49044452027141e-07,1.46300438261804e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,4,60,1.46400366119206,0.05,0.95,1.46413308737386,1.46425662843483,0,closed_loop_monte_carlo,ok,0.000123541060973453,-0.95,0.95,0.00530058833275615,2.94477129597564e-05,6.86339227630296e-07,2.87613737321261e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,5,61,1.45894263841497,0.05,0.95,1.45915838745717,1.459329590767,0,closed_loop_monte_carlo,ok,0.000171203309821344,-0.95,0.95,0.00880116499787942,4.88953610993301e-05,9.51129499007466e-07,4.79442316003226e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,6,62,1.45357471720592,0.05,0.95,1.45390826424732,1.45412279059796,0,closed_loop_monte_carlo,ok,0.000214526350638788,-0.95,0.95,0.0135564080067847,7.53133778154706e-05,1.19181305910438e-06,7.41215647563662e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,7,63,1.44790625961717,0.05,0.95,1.44840290342122,1.44864808454333,0,closed_loop_monte_carlo,ok,0.000245181122106919,-0.95,0.95,0.0201109332840408,0.00011172740713356,1.36211734503844e-06,0.000110365289788521,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,1,57,1.47728721665793,0.1,0.9,1.47729241517617,1.47730487385987,0,closed_loop_monte_carlo,ok,1.24586837042528e-05,-0.9,0.9,0.000116429048475197,1.29365609416886e-06,1.38429818936143e-07,1.15522627523272e-06,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,2,58,1.47318138902826,0.1,0.9,1.47320506844861,1.47325066261198,0,closed_loop_monte_carlo,ok,4.55941633681345e-05,-0.9,0.9,0.000519182570241083,5.76869522490093e-06,5.06601815201494e-07,5.26209340969943e-06,0,rep001,1,1
