CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Scenario,ScenarioName,ReplicateID,ReplicateIndex,NumReplicates,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,WindowWIS,WindowRawScaleWIS,WindowRMSE,WindowMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,IsValid,IntervalMethod,IntervalStatus,RecordedStatus,AICC
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,rep001,1,1,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,0.058253738406877,0.058253738406877,0.0939082523326881,0.0895597192725097,0.00995107991916775,0.0483026584877093,0,0,1,0.2125,0.2125,0.641013999922267,1,closed_loop_monte_carlo,ok,ok,-146.274943020406
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,rep001,1,1,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_rep001_AR_None.mat,forecast_results,56,57,0.0990007801851549,0.0990007801851549,0.214927322224456,0.207439065589113,0.023048785065457,0.028015558345397,0,0.0479364367743009,0,-0.7875,0.7875,0.380149058114643,1,closed_loop_monte_carlo,ok,ok,-162.767513802277
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,rep001,1,2,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,0.000203755447579238,0.000203755447579238,0.000285336035657047,0.000218222211362632,2.42469123736258e-05,3.65821743833034e-06,0.000175850317767282,0,0,-0.7875,0.7875,4.65723760958674e-05,1,closed_loop_monte_carlo,ok,ok,-1097.28238210163
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,rep001,1,2,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,0.00017956974818422,0.00017956974818422,0.000289797684824017,0.000227023002800372,2.52247780889302e-05,8.11623371231193e-06,0.000146228736382978,0,0,-0.7875,0.7875,0.000117109438971094,1,closed_loop_monte_carlo,ok,ok,-1233.92840273287
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,rep001,1,2,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,0.00224178075998891,0.00224178075998891,0.00302887777339427,0.00240825561052328,0.000267583956724809,4.74895463432981e-05,0.0019267072569208,0,0,-0.7875,0.7875,0.000681874615612342,1,closed_loop_monte_carlo,ok,ok,-764.41977257406
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,rep001,1,2,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,56,57,0.002388353675052,0.002388353675052,0.00308033162476723,0.00244485147866334,0.000271650164295927,3.06353469217108e-05,0.00208606816383437,0,0,-0.7875,0.7875,0.000408462845838977,1,closed_loop_monte_carlo,ok,ok,-856.781829497351
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,rep002,2,2,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_rep002_ARX_I.mat,forecast_results,49,50,0.00018842617195946,0.00018842617195946,0.000267255586667148,0.000204966420233171,2.27740466925745e-05,3.72714017357162e-06,0.000161924985093314,0,0,-0.7875,0.7875,5.12722928750566e-05,1,closed_loop_monte_carlo,ok,ok,-1090.41091070313
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,rep002,2,2,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_rep002_ARX_I.mat,forecast_results,56,57,0.000159757982233739,0.000159757982233739,0.000267720437852023,0.000210278492099139,2.33642768999044e-05,8.49702500045505e-06,0.00012789668033338,0,0,-0.7875,0.7875,0.000122397546636415,1,closed_loop_monte_carlo,ok,ok,-1231.09895976092
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,rep002,2,2,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_rep002_AR_None.mat,forecast_results,49,50,0.00224178075998891,0.00224178075998891,0.00302887777339427,0.00240825561052328,0.000267583956724809,4.74895463432981e-05,0.0019267072569208,0,0,-0.7875,0.7875,0.000681874615612342,1,closed_loop_monte_carlo,ok,ok,-764.41977257406
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,rep002,2,2,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_rep002_AR_None.mat,forecast_results,56,57,0.002388353675052,0.002388353675052,0.00308033162476723,0.00244485147866334,0.000271650164295927,3.06353469217108e-05,0.00208606816383437,0,0,-0.7875,0.7875,0.000408462845838977,1,closed_loop_monte_carlo,ok,ok,-856.781829497351
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,rep001,1,1,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,0.000227157513231309,0.000227157513231309,0.000320524984463189,0.000238673050391444,2.65192278212715e-05,3.41011505067303e-06,0.000197228170359364,0,0,-0.7875,0.7875,4.25870944338404e-05,1,closed_loop_monte_carlo,ok,ok,-1108.83951503642
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,rep001,1,1,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,0.00020022530048283,0.00020022530048283,0.00031392130053301,0.000241351364147459,2.68168182386066e-05,7.30530863795377e-06,0.00016610317360627,0,0,-0.7875,0.7875,0.000102828864217221,1,closed_loop_monte_carlo,ok,ok,-1244.95542927797
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,rep001,1,1,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,0.00224178075998891,0.00224178075998891,0.00302887777339427,0.00240825561052328,0.000267583956724809,4.74895463432981e-05,0.0019267072569208,0,0,-0.7875,0.7875,0.000681874615612342,1,closed_loop_monte_carlo,ok,ok,-764.41977257406
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,rep001,1,1,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_AR_None.mat,forecast_results,56,57,0.002388353675052,0.002388353675052,0.00308033162476723,0.00244485147866334,0.000271650164295927,3.06353469217108e-05,0.00208606816383437,0,0,-0.7875,0.7875,0.000408462845838977,1,closed_loop_monte_carlo,ok,ok,-856.781829497351
