CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,Error,SquaredError,AbsoluteError,WIS,RawScaleWIS,WISMedianComponent,WISDispersionComponent,WISUnderpredictionComponent,WISOverpredictionComponent,CoverageMean,CalibrationBiasMean,AbsoluteCalibrationErrorMean,IntervalWidthMean,IntervalMethod,IntervalStatus
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,7,63,1.44790625961717,1.33254719236695,-0.115359067250226,0.0133077143968421,0.115359067250226,0.0640825922580817,0.0640825922580817,0.012817674138914,0.0512649181191678,0,0,1,0.2125,0.2125,0.746457531032563,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,8,64,1.44194398389628,1.28917113887603,-0.152772845020249,0.0233395421755812,0.152772845020249,0.0644120156821238,0.0644120156821238,0.0169747605578055,0.0474372551243183,0,0,1,0.2125,0.2125,0.690819265204136,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,9,65,1.43569495652361,1.27448133548803,-0.161213621035581,0.0259898316074038,0.161213621035581,0.0715973453668001,0.0715973453668001,0.017912624559509,0.0536847208072912,0,0,1,0.2125,0.2125,0.787743282861977,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,10,66,1.42916658383716,1.27397624090892,-0.155190342928245,0.0240840425381863,0.155190342928245,0.0685816014236162,0.0685816014236162,0.0172433714364717,0.0513382299871446,0,0,1,0.2125,0.2125,0.727450006679849,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,11,67,1.42236660325458,1.28937102784066,-0.132995575413916,0.0176878230796785,0.132995575413916,0.0694934686497983,0.0694934686497983,0.0147772861571017,0.0547161824926966,0,0,1,0.2125,0.2125,0.772412024034974,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,12,68,1.41530307410279,1.25996106998173,-0.155342004121058,0.0241311382443467,0.155342004121058,0.0783279731733337,0.0783279731733337,0.0172602226801175,0.0610677504932162,0,0,1,0.2125,0.2125,0.883332708848419,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,13,69,1.40798436806609,1.29603465081778,-0.11194971724831,0.0125327391919765,0.11194971724831,0.0757084732529277,0.0757084732529277,0.0124388574720344,0.0632696157808933,0,0,1,0.2125,0.2125,0.886442405510541,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,14,70,1.40041915926406,1.30471974380324,-0.0956994154608246,0.00915837811954352,0.0956994154608246,0.0786367802900911,0.0786367802900911,0.0106332683845361,0.068003511905555,0,0,1,0.2125,0.2125,0.994744158174757,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,63,64,1,64,1.44194398389628,1.45737936884496,0.0154353849486797,0.000238251108513927,0.0154353849486797,0.0337948830327369,0.0337948830327369,0.00171504277207552,0.0320798402606614,0,0,1,0.2125,0.2125,0.443753795362283,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,63,64,2,65,1.43569495652361,1.40398472887779,-0.0317102276458208,0.00100553853734978,0.0317102276458208,0.0382046997342101,0.0382046997342101,0.00352335862731342,0.0346813411068967,0,0,1,0.2125,0.2125,0.485215977291654,closed_loop_monte_carlo,ok
