Case,Scenario,Replicate,Model,ExoMode,MeanWIS,MAE,RMSE,MeanCoverage,MeanIntervalWidth,NumWindows,NumHorizonRows
observation_noise,A3,rep008,ARX,I,0.0399328971840722,0.0713065537351293,0.0857223229191037,0.925595238095238,0.432016172593377,42,588
observation_noise,A3,rep009,ARX,I,0.0405137544089585,0.0732282168461051,0.0898389212792447,0.901360544217687,0.415310271196184,42,588
observation_noise,A3,rep010,ARX,I,0.0405483548793889,0.080169774083798,0.0990947977981209,0.857142857142857,0.36759615833666,42,588
observation_noise,A4,rep001,ARX,I,0.0430095489555443,0.0887043832623291,0.107338839676857,0.837159863945578,0.377481364694292,42,588
observation_noise,A4,rep002,ARX,I,0.0524345463912809,0.100116935079239,0.12592837581102,0.860119047619048,0.489260239222123,42,588
observation_noise,A4,rep003,ARX,I,0.0462410423002617,0.0981268125548437,0.115421407595337,0.826530612244898,0.411251106669844,42,588
observation_noise,A4,rep004,ARX,I,0.0491883166474458,0.103406909255188,0.12542663372448,0.821003401360544,0.401918580051201,42,588
observation_noise,A4,rep005,ARX,I,0.0547582890830432,0.106820422823588,0.129604511176959,0.871598639455782,0.506054064223935,42,588
observation_noise,A4,rep006,ARX,I,0.0482632058265991,0.100791001059072,0.121376985641313,0.84608843537415,0.428689381886606,42,588
observation_noise,A4,rep008,ARX,I,0.045303024691675,0.0948458471869304,0.11504006074192,0.851615646258503,0.410483215901063,42,588
observation_noise,A4,rep009,ARX,I,0.0502187556348441,0.0943896051967746,0.115952016928969,0.90093537414966,0.510428819486938,42,588
observation_noise,A4,rep010,ARX,I,0.0449432740931935,0.093982926398469,0.114546376480256,0.841836734693878,0.402389309961347,42,588
process_noise,A1,rep001,ARX,I,9.91644859707719e-05,0.000121426388792184,0.000226228039916646,0.203327922077922,6.06208539864558e-05,44,616
process_noise,A1,rep002,ARX,I,9.78354149763177e-05,0.000119385035765026,0.000221819208990252,0.120535714285714,6.15210743796339e-05,44,616
process_noise,A1,rep004,ARX,I,9.97585967676253e-05,0.000120712424165442,0.000221539179505826,0.126623376623377,6.03176554703185e-05,44,616
process_noise,A1,rep005,ARX,I,9.77197387849623e-05,0.000118647857601732,0.000226210713754709,0.188717532467532,5.72068207875059e-05,44,616
process_noise,A1,rep006,ARX,I,9.94651410580174e-05,0.000120204461837835,0.000222226581920252,0.124188311688312,5.85412385685937e-05,44,616
process_noise,A1,rep007,ARX,I,9.96152076626456e-05,0.000120938338681465,0.000224902512000649,0.160714285714286,5.90662448313692e-05,44,616
process_noise,A1,rep008,ARX,I,9.8321880025748e-05,0.000120643467626242,0.000222458267281927,0.14650974025974,6.0858139370205e-05,44,616
process_noise,A1,rep009,ARX,I,0.000100388700071361,0.000121068124250267,0.000218076160808426,0.139204545454545,5.91565453036227e-05,44,616
process_noise,A1,rep010,ARX,I,9.98519192022644e-05,0.000121195986937732,0.000225068320297051,0.105519480519481,5.96548215644671e-05,44,616
process_noise,A2,rep001,ARX,I,0.0137613999162495,0.0204785869430111,0.0563189156625856,0.627435064935065,0.0323367718894781,44,616
process_noise,A2,rep002,ARX,I,0.0138922235757826,0.0206265142591856,0.0567090754641595,0.649756493506494,0.0321834393577297,44,616
process_noise,A2,rep003,ARX,I,0.0137279377253001,0.0203019292429514,0.0568355231973716,0.621347402597403,0.0309787364996365,44,616
process_noise,A2,rep004,ARX,I,0.0139118756455539,0.0207646546137515,0.0569428501170135,0.632711038961039,0.0321079725806373,44,616
process_noise,A2,rep005,ARX,I,0.0142291292360134,0.0211770769460878,0.0574582748231078,0.639204545454545,0.0333555637607452,44,616
process_noise,A2,rep006,ARX,I,0.0142873320001462,0.0211287395214482,0.0576098017531195,0.63474025974026,0.0331445854204659,44,616
process_noise,A2,rep007,ARX,I,0.0138047741501771,0.0204397348488878,0.0566085010122375,0.640422077922078,0.0318647893870669,44,616
process_noise,A2,rep008,ARX,I,0.0136764635046837,0.0205235014675261,0.0564738028248306,0.633522727272727,0.0323851170787616,44,616
process_noise,A2,rep009,ARX,I,0.0138451731457253,0.020512186034932,0.0566429818644384,0.625405844155844,0.0311159847885244,44,616
process_noise,A2,rep010,ARX,I,0.0138688643988912,0.0204558411416679,0.0568849829132942,0.636363636363636,0.0319609365471011,44,616
process_noise,A3,rep001,ARX,I,0.00893980824067656,0.0118706860946577,0.0177390590307674,0.267451298701299,0.00878462126959373,44,616
process_noise,A3,rep002,ARX,I,0.00850310376423672,0.0112633287275298,0.0170281689392569,0.263392857142857,0.00860832072485182,44,616
process_noise,A3,rep003,ARX,I,0.00849540918690956,0.0113136904556086,0.0170491595026746,0.265016233766234,0.00868074607227346,44,616
process_noise,A3,rep004,ARX,I,0.00854021478169089,0.0113440133878532,0.0170410302906768,0.276785714285714,0.00867755011083716,44,616
process_noise,A3,rep005,ARX,I,0.00840808909581806,0.0113311718811439,0.016996418931932,0.269074675324675,0.0088334448122782,44,616
process_noise,A3,rep006,ARX,I,0.00846740869105536,0.0112270483444186,0.0169385729762197,0.265016233766234,0.00861621301176955,44,616
process_noise,A3,rep007,ARX,I,0.00813258894577134,0.0109985894051121,0.0165632886485052,0.271103896103896,0.00879786188341166,44,616
