Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,WIS
A3,SSEST,None,350,6,356,0.602013894125443,0.609285471446523,0.0114915559387212
A3,SSEST,None,350,7,357,0.601659328291778,0.609826883474289,0.0124629354616709
A3,SSEST,None,350,8,358,0.601363088513552,0.610367804740053,0.0133700547665599
A3,SSEST,None,350,9,359,0.601116379505959,0.610908234828936,0.014224615727477
A3,SSEST,None,350,10,360,0.600911581933904,0.611448173329533,0.0150352572836461
A3,SSEST,None,350,11,361,0.600742122537656,0.611987619833914,0.0158085809475883
A3,SSEST,None,350,12,362,0.600602353709816,0.612526573937609,0.0165497670376192
A3,SSEST,None,350,13,363,0.600487442749733,0.613065035239602,0.0172629665838642
A3,SSEST,None,350,14,364,0.600393270796466,0.613603003342322,0.0179515623132907
A3,SSEST,S,49,1,50,1.09716515595028,1.1031214480333,0.00292901574024268
A3,SSEST,S,49,2,51,1.131911791421,1.15193979683839,0.00777122596671099
A3,SSEST,S,49,3,52,1.1673808365351,1.20637445512022,0.0221705198510231
A3,SSEST,S,49,4,53,1.2034007320129,1.26725173944915,0.0440129207455364
A3,SSEST,S,49,5,54,1.2397836577668,1.33554970653456,0.0722333898161001
A3,SSEST,S,49,6,55,1.27632682519514,1.41243159737222,0.108039106999595
A3,SSEST,S,49,7,56,1.31281408089058,1.49928786741274,0.152839969362794
A3,SSEST,S,49,8,57,1.34901781099478,1.59778931986338,0.208288720302225
A3,SSEST,S,49,9,58,1.38470112835164,1.70995468994141,0.276331733831099
A3,SSEST,S,49,10,59,1.4196203175717,1.83823716425598,0.359273774591507
A3,SSEST,S,49,11,60,1.45352750631936,1.98563588541631,0.459861145316219
A3,SSEST,S,49,12,61,1.4861735247717,2.15584066649283,0.581389135632821
A3,SSEST,S,49,13,62,1.5173109094711,2.35342118496976,0.72784177088636
A3,SSEST,S,49,14,63,1.54669700289137,2.58407622567688,0.904074773857977
A3,SSEST,S,56,1,57,1.34901781099478,1.36085378426364,0.00466760830628575
A3,SSEST,S,56,2,58,1.38470112835164,1.42045987468587,0.0145905522634214
A3,SSEST,S,56,3,59,1.4196203175717,1.48564250434528,0.0384443207301916
A3,SSEST,S,56,4,60,1.45352750631936,1.55706918003913,0.0703975844878224
A3,SSEST,S,56,5,61,1.4861735247717,1.6355055980612,0.109825892926948
A3,SSEST,S,56,6,62,1.5173109094711,1.72183270409012,0.157681973316551
A3,SSEST,S,56,7,63,1.54669700289137,1.81706716108892,0.215024205445935
A3,SSEST,S,56,8,64,1.57409709612835,1.92238598944542,0.283029560699569
A3,SSEST,S,56,9,65,1.59928755935892,2.0391563446679,0.363010962533845
A3,SSEST,S,56,10,66,1.62205890320497,2.16897164128835,0.456439509957084
A3,SSEST,S,56,11,67,1.64221871397501,2.31369553931959,0.564972414439481
A3,SSEST,S,56,12,68,1.65959440698018,2.47551572774787,0.690487860228564
A3,SSEST,S,56,13,69,1.6740357447402,2.65700996290636,0.835128364222246
A3,SSEST,S,56,14,70,1.68541707086717,2.8612275036225,1.0013546506125
A3,SSEST,S,63,1,64,1.57409709612835,1.59206830812445,0.00659109070021581
A3,SSEST,S,63,2,65,1.59928755935892,1.65125713316495,0.0269392011161752
A3,SSEST,S,63,3,66,1.62205890320497,1.71455976266737,0.0588196244534458
A3,SSEST,S,63,4,67,1.64221871397501,1.78233838381441,0.0978265166915372
A3,SSEST,S,63,5,68,1.65959440698018,1.85499371243878,0.144114540382011
A3,SSEST,S,63,6,69,1.6740357447402,1.93296976516775,0.198019862480989
A3,SSEST,S,63,7,70,1.68541707086717,2.01675930802341,0.259955444468044
A3,SSEST,S,63,8,71,1.69363921566415,2.10691006136573,0.330378003156099
A3,SSEST,S,63,9,72,1.69863103587811,2.20403181196755,0.409776388910062
A3,SSEST,S,63,10,73,1.70035055844617,2.30880458782287,0.4986686038878
A3,SSEST,S,63,11,74,1.69878570627929,2.42198802079845,0.597603239862636
A3,SSEST,S,63,12,75,1.69395459292062,2.54443212817311,0.707163795026886
A3,SSEST,S,63,13,76,1.68590538205909,2.67708975972242,0.827975260124258
A3,SSEST,S,63,14,77,1.67471571712173,2.82103099520748,0.960712760183122
A3,SSEST,S,70,1,71,1.69363921566415,1.71479277196495,0.00915582345553981
A3,SSEST,S,70,2,72,1.69863103587811,1.76177899107539,0.0383047809960224
A3,SSEST,S,70,3,73,1.70035055844617,1.81090550670408,0.0761745093280199
A3,SSEST,S,70,4,74,1.69878570627929,1.86229294438095,0.120232921472321
A3,SSEST,S,70,5,75,1.69395459292062,1.91606986378396,0.170015655873828
A3,SSEST,S,70,6,76,1.68590538205909,1.97237334821853,0.225338546252935
A3,SSEST,S,70,7,77,1.67471571712173,2.03134965739362,0.286100161595933
A3,SSEST,S,70,8,78,1.66049173525736,2.09315487654997,0.352224392388326
A3,SSEST,S,70,9,79,1.64336668870719,2.15795564308442,0.423639206060926
A3,SSEST,S,70,10,80,1.62349920459827,2.22592998461462,0.500268188843908
A3,SSEST,S,70,11,81,1.60107122137404,2.29726814547392,0.582027490910111
A3,SSEST,S,70,12,82,1.57628564620134,2.37217349112711,0.66882549802962
A3,SSEST,S,70,13,83,1.54936378260769,2.45086351909169,0.760564036598242
A3,SSEST,S,70,14,84,1.520542581185,2.53357098746904,0.857140510829258
A3,SSEST,S,77,1,78,1.66049173525736,1.68501730951841,0.0113026166921659
A3,SSEST,S,77,2,79,1.64336668870719,1.71582695124771,0.0447466534816469
A3,SSEST,S,77,3,80,1.62349920459827,1.74743602867762,0.085992788218549
A3,SSEST,S,77,4,81,1.60107122137404,1.77986772553635,0.131845843010011
A3,SSEST,S,77,5,82,1.57628564620134,1.81314577033149,0.181418103837722
A3,SSEST,S,77,6,83,1.54936378260769,1.84729442336306,0.234205202552132
A3,SSEST,S,77,7,84,1.520542581185,1.88233850547856,0.289825781591567
A3,SSEST,S,77,8,85,1.49007176836835,1.91830334558065,0.347947838057792
A3,SSEST,S,77,9,86,1.45821090902455,1.95521474627658,0.408261907006225
A3,SSEST,S,77,10,87,1.42522645787431,1.99309897729363,0.470470289435863
A3,SSEST,S,77,11,88,1.39138885267405,2.03198276354304,0.534282841513214
A3,SSEST,S,77,12,89,1.35696969869133,2.07189320837757,0.59941571300391
A3,SSEST,S,77,13,90,1.32223908944989,2.11285775553215,0.665591583009676
A3,SSEST,S,77,14,91,1.28746310315571,2.15490414083716,0.732540595601579
A3,SSEST,S,84,1,85,1.49007176836835,1.51564821234183,0.0118447754738858
A3,SSEST,S,84,2,86,1.45821090902455,1.53235607662554,0.045129971746674
A3,SSEST,S,84,3,87,1.42522645787431,1.54923382770898,0.0848326293026827
A3,SSEST,S,84,4,88,1.39138885267405,1.56628140864165,0.127205504802241
A3,SSEST,S,84,5,89,1.35696969869133,1.58349859370611,0.171174500420661
A3,SSEST,S,84,6,90,1.32223908944989,1.60088497690101,0.216127920096772
A3,SSEST,S,84,7,91,1.28746310315571,1.61843997944942,0.261616996199584
A3,SSEST,S,84,8,92,1.2529015078321,1.63616281883788,0.307270637599892
A3,SSEST,S,84,9,93,1.2188057011947,1.65405249126035,0.352763434673769
