date,t,I_observed,I_smoothed,Lambda_t,Rt_est,Rt_model_input,Rt_evaluation_proxy
2021-06-18,474,2190,484.857142857143,648.877657236417,0.747224284038626,0.747224284038626,0.747224284038626
2021-06-19,475,601,501.571428571429,576.091623730146,0.870645237512385,0.870645237512385,0.870645237512385
2021-06-20,476,19,429.428571428571,508.701934090329,0.844165399521203,0.844165399521203,0.844165399521203
2021-06-21,477,1,406.857142857143,468.965877118358,0.867562359455973,0.867562359455973,0.867562359455973
2021-06-22,478,678,503.714285714286,453.894927650678,1.10975967129985,1.10975967129985,1.10975967129985
2021-06-23,479,506,575.857142857143,447.712522943523,1.28622076298229,1.28622076298229,1.28622076298229
2021-06-24,480,379,624.857142857143,446.955792069088,1.39802896381429,1.39802896381429,1.39802896381429
2021-06-25,481,373,365.285714285714,458.838186661668,0.796110099168934,0.796110099168934,0.796110099168934
2021-06-26,482,31,283.857142857143,484.612122183331,0.585740904660569,0.585740904660569,0.585740904660569
2021-06-27,483,8,282.285714285714,502.652300319483,0.561592405140283,0.561592405140283,0.561592405140283
2021-06-28,484,8,283.285714285714,489.371681816509,0.578876393570997,0.578876393570997,0.578876393570997
2021-06-29,485,444,249.857142857143,447.752726015178,0.558024839023924,0.558024839023924,0.558024839023924
2021-06-30,486,251,213.428571428571,397.018790826099,0.537578009807744,0.537578009807744,0.537578009807744
2021-07-01,487,560,239.285714285714,350.972592327271,0.681778918117308,0.681778918117308,0.681778918117308
2021-07-02,488,285,226.714285714286,312.461182239741,0.725575843018912,0.725575843018912,0.725575843018912
2021-07-03,489,326,268.857142857143,282.147900526258,0.952894359148781,0.952894359148781,0.952894359148781
2021-07-04,490,3,268.142857142857,260.925528412843,1.02766049291503,1.02766049291503,1.02766049291503
2021-07-05,491,2,267.285714285714,249.712032991515,1.07037578879828,1.07037578879828,1.07037578879828
2021-07-06,492,415,263.142857142857,247.829219163048,1.0617910915893,1.0617910915893,1.0617910915893
2021-07-07,493,369,280,251.42887652145,1.11363501230978,1.11363501230978,1.11363501230978
2021-07-08,494,258,236.857142857143,256.347750872492,0.923968094321047,0.923968094321047,0.923968094321047
2021-07-09,495,237,230,260.861837664093,0.881692784423941,0.881692784423941,0.881692784423941
2021-07-10,496,228,216,262.683877283795,0.822281147337568,0.822281147337568,0.822281147337568
2021-07-11,497,7,216.571428571429,259.546443339207,0.83442264045355,0.83442264045355,0.83442264045355
