Scenario,Model,ExoMode,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_I,ForecastDriven_I,PersistenceRt_I,ForecastDrivenAbsoluteError,PersistenceRtAbsoluteError
A3,SSEST,I,322,323,5,327,3041.78244856477,3044.64618251561,3063.21290515748,2.86373395083729,21.430456592705
A3,SSEST,I,322,323,6,328,3014.09311263363,3019.58489006069,3045.3331687518,5.4917774270607,31.2400561181685
A3,SSEST,I,322,323,7,329,2985.08898329714,2994.5054874761,3027.56905325429,9.4165041789629,42.4800699571533
A3,SSEST,I,322,323,8,330,2954.93388134172,2969.82347997085,3009.91963636219,14.8895986291236,54.9857550204706
A3,SSEST,I,322,323,9,331,2923.7837483416,2945.93116946597,2992.38400395213,22.1474211243712,68.6002556105277
A3,SSEST,I,322,323,10,332,2891.78584062325,2923.32102172587,2974.96125005297,31.5351811026162,83.1754094297239
A3,SSEST,I,322,323,11,333,2859.0781609011,2902.29537279931,2957.6504768171,43.2172118982112,98.5723159160002
A3,SSEST,I,322,323,12,334,2825.7891056514,2883.14276628182,2940.4507944901,57.3536606304219,114.661688838694
A3,SSEST,I,322,323,13,335,2792.03730424764,2866.17918169551,2923.36132137898,74.1418774478752,131.324017131339
A3,SSEST,I,322,323,14,336,2757.93162490624,2851.73856581379,2906.38118381889,93.8069409075465,148.449558912647
A3,SSEST,I,329,330,1,330,2954.93388134172,2954.93388134172,2954.93388134172,0,0
A3,SSEST,I,329,330,2,331,2923.7837483416,2923.84222820337,2925.09793970752,0.0584798617728666,1.31419136591558
A3,SSEST,I,329,330,3,332,2891.78584062325,2892.13768841385,2895.57741992873,0.351847790603642,3.79157930548308
A3,SSEST,I,329,330,4,333,2859.0781609011,2860.1963703242,2866.3686325921,1.11820942310032,7.29047169099977
A3,SSEST,I,329,330,5,334,2825.7891056514,2828.38901807617,2837.46793674737,2.59991242477145,11.6788310959655
A3,SSEST,I,329,330,6,335,2792.03730424764,2797.0828530396,2808.87173931866,5.04554879196439,16.8344350710163
A3,SSEST,I,329,330,7,336,2757.93162490624,2766.56255649087,2780.57649451682,8.63093158462971,22.6448696105813
A3,SSEST,I,329,330,8,337,2723.57132242469,2737.11174284937,2752.57870325317,13.540420424682,29.0073808284828
A3,SSEST,I,329,330,9,338,2689.04630336831,2709.12929333433,2724.8749125547,20.0829899660207,35.8286091863929
A3,SSEST,I,329,330,10,339,2654.43748561416,2682.79760691644,2697.46171498108,28.3601213022885,43.024229366923
A3,SSEST,I,329,330,11,340,2619.8172308379,2658.29741158212,2670.3357480437,38.4801807442213,50.5185172057968
A3,SSEST,I,329,330,12,341,2585.24983049419,2636.06848550718,2643.4936936269,50.8186550129872,58.2438631327045
A3,SSEST,I,329,330,13,342,2550.79202797397,2616.29017284069,2616.93227741165,65.4981448667195,66.1402494376803
A3,SSEST,I,329,330,14,343,2516.49356182216,2599.19388457864,2590.64826830194,82.7003227564796,74.1547064797787
A3,SSEST,I,336,337,1,337,2723.57132242469,2723.57132242469,2723.57132242469,0,0
A3,SSEST,I,336,337,2,338,2689.04630336831,2689.07897998887,2689.65262280559,0.0326766205625972,0.60631943728049
A3,SSEST,I,336,337,3,339,2654.43748561416,2654.63477844488,2656.16942233236,0.197292830721835,1.73193671819899
A3,SSEST,I,336,337,4,340,2619.8172308379,2620.48559747968,2623.11571116361,0.668366641773446,3.2984803257109
A3,SSEST,I,336,337,5,341,2585.24983049419,2586.90024772747,2590.48557184199,1.65041723328159,5.23574134779665
A3,SSEST,I,336,337,6,342,2550.79202797397,2554.04078906653,2558.27317781879,3.24876109255865,7.48114984482163
A3,SSEST,I,336,337,7,343,2516.49356182216,2522.10506935848,2526.47279199481,5.61150753631955,9.97923017265657
A3,SSEST,I,336,337,8,344,2482.39771708499,2491.2527539069,2495.07876527757,8.85503682190301,12.6810481925754
A3,SSEST,I,336,337,9,345,2448.54187396436,2461.70716434449,2464.08553515516,13.1652903801391,15.5436611908081
A3,SSEST,I,336,337,10,346,2414.95804493981,2433.58434735307,2433.48762428714,18.6263024132541,18.5295793473229
