Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Alpha,NominalCoverage,LowerBound,UpperBound,Coverage,IntervalWidth,CoverageError,AbsoluteCoverageError,IntervalScore,WISIntervalComponent,WISSharpnessComponent,WISUnderpredictionComponent,WISOverpredictionComponent
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,11,60,1.15457751248964,0.1,0.9,1.15460440908882,1.15461059547954,0,6.18639072147431e-06,-0.9,0.9,0.000544118374243396,2.72059187121698e-05,3.09319536073716e-07,2.68965991760961e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,12,61,1.15614214385133,0.1,0.9,1.1561763765825,1.15618341188451,0,7.03530200563129e-06,-0.9,0.9,0.000691689925485184,3.45844962742592e-05,3.51765100281565e-07,3.42327311739776e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,13,62,1.15766050692596,0.1,0.9,1.1577035491306,1.15771129905534,0,7.74992473839831e-06,-0.9,0.9,0.000868594017556568,4.34297008778284e-05,3.87496236919915e-07,4.30422046409085e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,14,63,1.15913215178981,0.1,0.9,1.15918546204805,1.15919407357422,0,8.61152617259719e-06,-0.9,0.9,0.00107481669104503,5.37408345522516e-05,4.3057630862986e-07,5.33102582436218e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,1,50,1.13649504552614,0.2,0.8,1.13649517983997,1.13649535875116,0,1.78911188752906e-07,-0.8,0.8,1.52204944936507e-06,1.52204944936507e-07,1.78911188752906e-08,1.34313826061216e-07,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,2,51,1.13849466883911,0.2,0.8,1.13849513795553,1.13849565111234,0,5.13156817483207e-07,-0.8,0.8,5.20432098349843e-06,5.20432098349843e-07,5.13156817483207e-08,4.69116416601523e-07,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,3,52,1.14045325319274,0.2,0.8,1.14045444352455,1.14045531352893,0,8.70004376318789e-07,-0.8,0.8,1.27733225030457e-05,1.27733225030457e-06,8.70004376318789e-08,1.1903318126727e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,4,53,1.14237021821622,0.2,0.8,1.14237242644416,1.14237379952638,0,1.37308222480925e-06,-0.8,0.8,2.34553615987565e-05,2.34553615987565e-06,1.37308222480925e-07,2.20822793739472e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,5,54,1.14424499587144,0.2,0.8,1.1442486817925,1.14425049948941,0,1.81769691054434e-06,-0.8,0.8,3.86769074831594e-05,3.86769074831594e-06,1.81769691054434e-07,3.68592105726151e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,6,55,1.14607703062133,0.2,0.8,1.14608284268897,1.14608503760161,0,2.19491264297211e-06,-0.8,0.8,6.0315589090143e-05,6.0315589090143e-06,2.19491264297211e-07,5.81206764471709e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,7,56,1.14786577959443,0.2,0.8,1.1478742832729,1.14787696337783,0,2.68010493020832e-06,-0.8,0.8,8.77168895641045e-05,8.77168895641045e-06,2.68010493020832e-07,8.50367846338962e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,8,57,1.14961071274585,0.2,0.8,1.14962258386891,1.14962578347671,0,3.19960780092998e-06,-0.8,0.8,0.000121910838482009,1.21910838482009e-05,3.19960780092998e-07,1.18711230681079e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,9,58,1.15131131301421,0.2,0.8,1.15132733801477,1.15133121237201,0,3.87435724724661e-06,-0.8,0.8,0.000164124362848073,1.64124362848073e-05,3.87435724724661e-07,1.60250005600826e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,10,59,1.15296707647496,0.2,0.8,1.15298818615459,1.15299285749914,0,4.67134454518181e-06,-0.8,0.8,0.000215768140903849,2.15768140903849e-05,4.67134454518181e-07,2.11096796358667e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,11,60,1.15457751248964,0.2,0.8,1.15460484048799,1.15461039131815,0,5.5508301644025e-06,-0.8,0.8,0.000278830813578157,2.78830813578157e-05,5.5508301644025e-07,2.73279983413754e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,12,61,1.15614214385133,0.2,0.8,1.15617690279396,1.15618324576768,0,6.34297372115178e-06,-0.8,0.8,0.000353932400007251,3.53932400007251e-05,6.34297372115178e-07,3.47589426286099e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,13,62,1.15766050692596,0.2,0.8,1.15770403497906,1.15771116741481,0,7.13243575112266e-06,-0.8,0.8,0.000442412966692673,4.42412966692674e-05,7.13243575112266e-07,4.35280530941551e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,14,63,1.15913215178981,0.2,0.8,1.15918598805329,1.1591938234917,0,7.83543841009759e-06,-0.8,0.8,0.000546198073215542,5.46198073215542e-05,7.8354384100976e-07,5.38362634805445e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,1,50,1.13649504552614,0.5,0.5,1.13649519182935,1.13649535153922,0,1.59709871994096e-07,-0.5,0.5,7.44922708406648e-07,1.86230677101662e-07,3.9927467998524e-08,1.46303209103138e-07,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,2,51,1.13849466883911,0.5,0.5,1.13849523936248,1.13849553220332,0,2.92840834026364e-07,-0.5,0.5,2.57493432953559e-06,6.43733582383899e-07,7.32102085065911e-08,5.70523373877307e-07,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,3,52,1.14045325319274,0.5,0.5,1.14045458956,1.14045504884122,0,4.5928121950034e-07,-0.5,0.5,5.80475024603011e-06,1.45118756150753e-06,1.14820304875085e-07,1.33636725663244e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,4,53,1.14237021821622,0.5,0.5,1.14237268419158,1.14237340930951,0,7.25117933031427e-07,-0.5,0.5,1.05890193664582e-05,2.64725484161454e-06,1.81279483257857e-07,2.46597535835669e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,5,54,1.14424499587144,0.5,0.5,1.14424905146854,1.14425007348271,0,1.02201417195857e-06,-0.5,0.5,1.72444025627883e-05,4.31110064069706e-06,2.55503542989644e-07,4.05559709770742e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,6,55,1.14607703062133,0.5,0.5,1.14608322049831,1.14608454460246,0,1.32410415765172e-06,-0.5,0.5,2.60836120851149e-05,6.52090302127872e-06,3.31026039412929e-07,6.18987698186579e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,7,56,1.14786577959443,0.5,0.5,1.14787474587991,1.14787644026061,0,1.69438070618533e-06,-0.5,0.5,3.75595225883263e-05,9.38988064708157e-06,4.23595176546332e-07,8.96628547053524e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,8,57,1.14961071274585,0.5,0.5,1.14962317055135,1.14962523682348,0,2.06627213472643e-06,-0.5,0.5,5.18974941385864e-05,1.29743735346466e-05,5.16568033681608e-07,1.2457805500965e-05,0
