Scenario,Model,ExoMode,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,Error,AbsoluteError,SquaredError,WIS,MeanCoverage,MeanIntervalWidth
A1,N4SID,None,322,323,6,328,0.892949196347062,0.8929572943802,8.09803313794877e-06,8.09803313794877e-06,6.55781407033164e-11,3.37283459968468e-06,0.75,2.67870298849837e-05
A1,N4SID,None,322,323,7,329,0.895455950778316,0.895466387149321,1.04363710056177e-05,1.04363710056177e-05,1.08917839766897e-10,4.48819093898748e-06,0.75,3.60983721486297e-05
A1,N4SID,None,322,323,8,330,0.897993683867599,0.898007374323072,1.36904554728368e-05,1.36904554728368e-05,1.87428571053726e-10,5.82410624918471e-06,0.75,4.75601630781086e-05
A1,N4SID,None,322,323,9,331,0.900561643629828,0.900580534186272,1.88905564435515e-05,1.88905564435515e-05,3.56853122747006e-10,7.41800526974553e-06,0.75,6.11985501747236e-05
A1,N4SID,None,322,323,10,332,0.903159069123106,0.903182677818554,2.36086954478187e-05,2.36086954478187e-05,5.57370500747857e-10,9.39758674258094e-06,0.75,7.63279716907983e-05
A1,N4SID,None,322,323,11,333,0.905785190674201,0.90581429306671,2.91023925093059e-05,2.91023925093059e-05,8.46949249765705e-10,1.15699233404438e-05,0.75,9.31001730072045e-05
A1,N4SID,None,322,323,12,334,0.908439230106621,0.908472979060175,3.37489535540136e-05,3.37489535540136e-05,1.13899186599097e-09,1.35278166428511e-05,0.75,0.00011227287478105
A1,N4SID,None,322,323,13,335,0.911120400971204,0.911158830726573,3.84297553693846e-05,3.84297553693846e-05,1.47684609775075e-09,1.61257397735617e-05,0.75,0.000132961790292513
A1,N4SID,None,322,323,14,336,0.913827908779158,0.913872706043364,4.47972642062533e-05,4.47972642062533e-05,2.00679488036486e-09,1.88398396362045e-05,0.75,0.000155977675850821
A1,N4SID,None,329,330,1,330,0.897993683867599,0.897998811914732,5.12804713326265e-06,5.12804713326265e-06,2.62968674009633e-11,3.20627926748202e-06,0.25,8.75162041721889e-06
A1,N4SID,None,329,330,2,331,0.900561643629828,0.900578999476309,1.7355846480327e-05,1.7355846480327e-05,3.01225407048678e-10,1.08571836261568e-05,0,2.10176630240366e-05
A1,N4SID,None,329,330,3,332,0.903159069123106,0.90319605477317,3.69856500640475e-05,3.69856500640475e-05,1.36793831066018e-09,2.52401197710787e-05,0,3.59926782373399e-05
A1,N4SID,None,329,330,4,333,0.905785190674201,0.905848765723696,6.35750494949461e-05,6.35750494949461e-05,4.04178691828484e-09,4.4959614502922e-05,0,5.37559200335658e-05
A1,N4SID,None,329,330,5,334,0.908439230106621,0.908534456540534,9.52264339129094e-05,9.52264339129094e-05,9.0680737157697e-09,7.16375029926133e-05,0,7.35309620206737e-05
A1,N4SID,None,329,330,6,335,0.911120400971204,0.911255355155735,0.000134954184530911,0.000134954184530911,1.82126319224032e-08,0.000104127398789579,0,9.78853385860123e-05
A1,N4SID,None,329,330,7,336,0.913827908779158,0.914007963200824,0.000180054421666243,0.000180054421666243,3.24195947615651e-08,0.000144937751943499,0,0.000123326730330608
A1,N4SID,None,329,330,8,337,0.916560951237487,0.916798323570603,0.000237372333116381,0.000237372333116381,5.63456245291143e-08,0.000195793652634412,0,0.000147663837391454
A1,N4SID,None,329,330,9,338,0.919318718486726,0.919619795432233,0.000301076945507184,0.000301076945507184,9.06473271159357e-08,0.000254004024015638,0,0.000175827955667257
A1,N4SID,None,329,330,10,339,0.922100393340922,0.922473630003595,0.000373236662672416,0.000373236662672416,1.39305606362843e-07,0.000319797118899675,0,0.000209869857510259
A1,N4SID,None,329,330,11,340,0.924905151529783,0.925365554522583,0.000460402992800479,0.000460402992800479,2.11970915779638e-07,0.000397044971203846,0,0.000242436958940689
A1,N4SID,None,329,330,12,341,0.927732161942925,0.928287500267459,0.000555338324534138,0.000555338324534138,3.08400654696384e-07,0.000483223984898859,0,0.000276928303031276
A1,N4SID,None,329,330,13,342,0.930580586876151,0.931241192949472,0.000660606073321524,0.000660606073321524,4.36400384109282e-07,0.000576336766506241,0,0.000320586605764145
A1,N4SID,None,329,330,14,343,0.933449582279679,0.934233321296517,0.000783739016838259,0.000783739016838259,6.142468465146e-07,0.000679759772690939,0,0.00036569378973772
A1,N4SID,None,336,337,1,337,0.916560951237487,0.916558617578591,-2.33365889612536e-06,2.33365889612536e-06,5.44596384346502e-12,1.6546305146698e-06,1,2.13651570923901e-05
A1,N4SID,None,336,337,2,338,0.919318718486726,0.919315044851031,-3.67363569497847e-06,3.67363569497847e-06,1.349559921942e-11,3.42124214096197e-06,1,4.22473518447708e-05
A1,N4SID,None,336,337,3,339,0.922100393340922,0.922090724107056,-9.66923386591656e-06,9.66923386591656e-06,9.34940835537877e-11,5.92205479902476e-06,1,6.69245134216623e-05
A1,N4SID,None,336,337,4,340,0.924905151529783,0.924892221783775,-1.29297460076394e-05,1.29297460076394e-05,1.67178331822067e-10,8.53190845539722e-06,1,0.000100788525762147
A1,N4SID,None,336,337,5,341,0.927732161942925,0.927713196112831,-1.89658300938644e-05,1.89658300938644e-05,3.59702711149334e-10,1.17737764291532e-05,1,0.000140487134308032
A1,N4SID,None,336,337,6,342,0.930580586876151,0.93055671737486,-2.38695012907408e-05,2.38695012907408e-05,5.69753091868678e-10,1.52754196021473e-05,1,0.000184623117332833
A1,N4SID,None,336,337,7,343,0.933449582279679,0.933415312712043,-3.42695676360805e-05,3.42695676360805e-05,1.17440326596389e-09,1.95658422308299e-05,1,0.000230136067946196
A1,N4SID,None,336,337,8,344,0.936338298008253,0.93629844355256,-3.98544556929892e-05,3.98544556929892e-05,1.58837763858444e-09,2.39489544238808e-05,1,0.000286540951963038
