Scenario,Model,ExoMode,WindowDay,WindowDayIdx,ForecastDrivenRMSE,ForecastDrivenMAE,PersistenceRtRMSE,PersistenceRtMAE
A1,N4SID,S,252,253,0.237981453615155,0.164029899230627,15.4879329075841,12.0843957095143
A1,N4SID,S,259,260,0.24533338750044,0.169963662162575,8.03317334903573,6.34970413922731
A1,N4SID,S,266,267,0.191986966706397,0.133474767554584,2.47076953031965,2.04329395955407
A1,N4SID,S,273,274,0.0253621036616236,0.0173701678821772,1.63263219100205,1.07121005847104
A1,N4SID,S,280,281,0.0287835240782303,0.0192342518809028,4.39708636808428,3.23565704303811
A1,N4SID,S,287,288,0.0536228999421965,0.0362542267867769,6.25014981575648,4.67723193594176
A1,N4SID,S,294,295,0.0416877733780182,0.0285773054604468,7.42435476111812,5.58940055221035
A1,N4SID,S,301,302,0.0660036318713808,0.0457690984859401,8.1229637068487,6.13010843371196
A1,N4SID,S,308,309,0.0696492972562093,0.047917670243651,8.50490215418731,6.42250383368597
A1,N4SID,S,315,316,0.0771892493288633,0.0528177795963448,8.68970667311669,6.55931300642936
A1,N4SID,S,322,323,0.0460369723606624,0.0316553119867292,8.76476850233843,6.60839102832371
A1,N4SID,S,329,330,0.054399993508562,0.0371314294333404,8.79256721922356,6.61824742824867
A1,N4SID,S,336,337,0.0794162452677845,0.0551014479057171,8.81699474300079,6.62290757019901
A1,N4SID,S,343,344,0.0949884656681867,0.0646292802981999,8.86843482387444,6.64584514839221
A1,N4SID,S,350,351,0.109776543115905,0.0750645742009998,8.96754662324916,6.70293603138635
A1,SSEST,I,49,50,0.00751629032518926,0.0048813365567152,12.2617175768036,8.99682107175032
A1,SSEST,I,56,57,0.00427367637215656,0.00281318248934375,12.067819824155,8.85921167700339
A1,SSEST,I,63,64,0.00197215267853297,0.00139915747982806,11.3202188646485,8.32788355309651
A1,SSEST,I,70,71,0.00372808966279659,0.00218526204545404,9.7476319271885,7.20770369699513
A1,SSEST,I,77,78,0.0196260527980244,0.0123119381994781,7.01377497562333,5.25436666144922
A1,SSEST,I,84,85,0.055262792695399,0.0350718319279265,2.74519331701475,2.17966847719804
A1,SSEST,I,91,92,0.139792474895602,0.0895363426187552,3.64289471278349,2.33132900723558
A1,SSEST,I,98,99,0.279352644003642,0.179619489651291,12.3130008433676,8.58732198972958
A1,SSEST,I,105,106,0.53213593759093,0.343636495402864,23.7388881854315,16.8400194132754
A1,SSEST,I,112,113,0.969202458823889,0.630244843542706,38.0489552255276,27.2177775655361
A1,SSEST,I,119,120,1.33142625212424,0.869920722883243,55.1094433121749,39.6518838298979
A1,SSEST,I,126,127,1.51345229441706,0.992399628086657,74.4227486680137,53.8106908243949
A1,SSEST,I,133,134,0.424649624635461,0.28059049454948,95.0824706947927,69.0621227268346
A1,SSEST,I,140,141,0.504637537870391,0.340632814765546,115.79997309429,84.4856299754751
A1,SSEST,I,147,148,0.0892566567049883,0.0625971528342494,135.01884754882,98.9478249222496
A1,SSEST,I,154,155,0.0894657836482645,0.0602787898737266,151.113133434544,111.241343916535
A1,SSEST,I,161,162,0.159338975788082,0.105241027045849,162.638288186527,120.266891244435
A1,SSEST,I,168,169,0.199629924866326,0.134113783824302,168.579959560451,125.220017344299
A1,SSEST,I,175,176,0.131871506809683,0.089165346574321,168.534449681483,125.734252576073
A1,SSEST,I,182,183,0.109416650707011,0.0757100221270386,162.763721631181,121.93658747407
A1,SSEST,I,189,190,0.121221511553164,0.0809787395368013,152.099944148211,114.392729649442
A1,SSEST,I,196,197,0.185820919376731,0.124003956561345,137.727526914456,103.956906542929
A1,SSEST,I,203,204,0.260418854613053,0.175191771439976,120.928489272853,91.5840398037199
A1,SSEST,I,210,211,0.350380964912222,0.236699138133645,102.898018141353,78.1826347754038
A1,SSEST,I,217,218,0.536813069041016,0.365449354424982,84.6790259923909,64.5523074921721
A1,SSEST,I,224,225,0.629287046506109,0.430177131656884,67.1645079531648,51.3784070274079
A1,SSEST,I,231,232,0.730124349856941,0.502593783503861,51.0853472341665,39.2242621345695
A1,SSEST,I,238,239,0.751991364957229,0.517486055620046,36.9652827487337,28.5004062790646
A1,SSEST,I,245,246,0.67287027234311,0.465154456592797,25.0846764260829,19.4366991167723
A1,SSEST,I,252,253,0.817301808881997,0.565489164484818,15.4879329075841,12.0843957095143
