Model,ExoMode,HorizonIdx,GroupCount,MeanWIS,MeanAbsoluteError,MeanSquaredError,MeanCoverage,MeanIntervalWidth
ARX,I,13,176,0.0192031900900159,0.0261152290088802,0.00291238442867622,0.244318181818182,0.024576152270885
ARX,I,14,176,0.022199251474267,0.0299911640766305,0.00363679849510232,0.237215909090909,0.0272456084662916
N4SID,I,1,176,0.000853620252072996,0.00107672148550316,2.28055544043291e-05,0.607954545454545,0.0043822376636964
N4SID,I,2,176,0.00115611857193855,0.00159898376317008,1.23883366551414e-05,0.505681818181818,0.00594042381693404
N4SID,I,3,176,0.00264713289058921,0.00339472603879701,0.000121686510222672,0.444602272727273,0.00752248284431588
N4SID,I,4,176,0.00322444530659351,0.0043028229479239,7.63633244700953e-05,0.416193181818182,0.00900330379382768
N4SID,I,5,176,0.00547116255409517,0.00690453026069095,0.000373116150067507,0.394886363636364,0.0105616504234648
N4SID,I,6,176,0.00620972070585636,0.00803036696511737,0.000247003698086116,0.382102272727273,0.012006061410087
N4SID,I,7,176,0.00939270923094078,0.0115823182279362,0.000883015664721538,0.380681818181818,0.0135342833318572
N4SID,I,8,176,0.0101797466696439,0.0128232569024736,0.000619369966306262,0.373579545454545,0.0154035211495585
N4SID,I,9,176,0.0146514196827888,0.0175317638796583,0.00180866071288708,0.370738636363636,0.0167798648253308
N4SID,I,10,176,0.0154603470400484,0.0185291572776264,0.00140744780767847,0.375,0.0192611664033649
N4SID,I,11,176,0.0211871962020941,0.0249423668145422,0.00344034947415996,0.367897727272727,0.0202822568882743
N4SID,I,12,176,0.0226515624112868,0.0274464554492888,0.00332315342296502,0.367897727272727,0.0247778995199527
N4SID,I,13,176,0.0290172777823214,0.0337410740506726,0.00609071597970826,0.356534090909091,0.0236214018538206
N4SID,I,14,176,0.0340628503364218,0.0414825355919531,0.0128110964037223,0.346590909090909,0.0385937495099738
SSEST,I,1,176,0.000713005126855395,0.00107969494247674,2.40850092199828e-05,0.521306818181818,0.00232629112811245
SSEST,I,2,176,0.00128359576386074,0.0022360969120627,2.90681002736047e-05,0.319602272727273,0.00457360586354272
SSEST,I,3,176,0.00295747077807726,0.00449327492246414,0.000163348867271005,0.292613636363636,0.00628780251371772
SSEST,I,4,176,0.00370514441690208,0.00581835033658734,0.000147331859781192,0.269886363636364,0.00784659785986659
SSEST,I,5,176,0.00606713971377248,0.00869552804861558,0.000474199375423836,0.255681818181818,0.00930925302942549
SSEST,I,6,176,0.00688483734477952,0.0100964808160852,0.000378865497155758,0.252840909090909,0.0108087450955959
SSEST,I,7,176,0.010094691277797,0.0138461396126789,0.00103844040824787,0.245738636363636,0.0122021924921886
SSEST,I,8,176,0.0108019517195358,0.0152314203139637,0.000779764373772952,0.25,0.0139239232057566
SSEST,I,9,176,0.0152345804591425,0.0200028946647246,0.00195700986601041,0.242897727272727,0.0151047929774466
SSEST,I,10,176,0.0159462310749042,0.0209612087287414,0.00149625011584939,0.240056818181818,0.0173643808005633
