Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,WindowDay,WindowDayIdx,WindowWIS,WindowRMSE,WindowMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,AICC
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,217,218,0.000143584537277924,0.000205813302408075,0.000155603916655256,7.78019583276279e-05,9.30585040086652e-06,0,0.000559022609022162,0,-0.7875,0.7875,2.8797069723817e-05,-5499.98505199041
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,224,225,0.000188987163056113,0.000269695348008128,0.000204302614587926,0.000102151307293963,1.09811711066913e-05,0,0.000737309755351856,0,-0.7875,0.7875,3.56433950029528e-05,-5537.65547288757
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,231,232,0.000237385897672672,0.000332459840508243,0.00025283248580889,0.000126416242904445,1.11367399944898e-05,0,0.000930683556628088,0,-0.7875,0.7875,3.69886521332856e-05,-5574.96304403219
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,238,239,0.000278648131633255,0.000399834132744066,0.000305024718210883,0.000152512359105441,1.80703803786791e-05,0,0.00108333385286553,0,-0.7875,0.7875,5.95808839720618e-05,-5618.88976365195
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,245,246,0.000314147599669764,0.000450735213961687,0.000345325956973405,0.000172662978486702,2.07403713667773e-05,0,0.00122026084866046,0,-0.7875,0.7875,6.48799800881533e-05,-5673.16836474612
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,252,253,0.00032402805851086,0.000477014876990213,0.000364500051844661,0.000182250025922331,3.067984330822e-05,0,0.00124519639406832,0,-0.7875,0.7875,0.000103222575762846,-5739.79573676462
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,259,260,0.000341095459520204,0.000492103907722622,0.000378464785185091,0.000189232392592545,3.18608819460904e-05,0,0.00131383629330228,0,-0.7875,0.7875,0.00010393914645255,-5819.87441614922
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,266,267,0.000324093580932315,0.000475529518895349,0.000365362702632099,0.00018268135131605,3.35533728313339e-05,0,0.00124218639004804,0,-0.7875,0.7875,0.00010581707727135,-5913.96221043726
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,273,274,0.000289325485962835,0.000440008699847426,0.000338468941292485,0.000169234470646242,3.88644063978241e-05,0,0.00109386580978869,0,-0.7875,0.7875,0.00013133003665403,-6022.14314147099
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,280,281,0.000235230532973427,0.000373745415178647,0.000289246996857459,0.000144623498428729,4.92982995636683e-05,0,0.000864615600388022,0,-0.7875,0.7875,0.000144821997164422,-6143.96115952187
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,287,288,0.000174981835684833,0.000298002015733141,0.000232585858530928,0.000116292929265464,4.48796869545068e-05,0,0.00062624564436178,0,-0.7875,0.7875,0.000133962293776853,-6278.30897607934
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,294,295,8.59733484655283e-05,0.00018351471029519,0.000143795325450605,7.18976627253025e-05,4.98138340928761e-05,0,0.000265168571276699,0.0357142857142857,-0.751785714285714,0.757142857142857,0.000161238085191154,-6423.34114748105
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,301,302,2.57858771401545e-05,8.89522111988185e-05,7.18226287999557e-05,3.59113143999779e-05,5.24494386603478e-05,0,2.76756940703695e-05,0.732142857142857,-0.0553571428571428,0.233928571428571,0.00016418792269131,-6576.47818899766
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,308,309,1.32559059418969e-05,4.05953513500223e-05,2.638256942779e-05,1.3191284713895e-05,4.63119263350102e-05,1.48365689630773e-07,0,0.982142857142857,0.194642857142857,0.2125,0.000152950803901785,-6734.57749805768
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,315,316,3.04500641139575e-05,0.000102830426687048,7.65075286802617e-05,3.82537643401309e-05,4.62136053857101e-05,5.25579187869678e-05,0,0.678571428571429,-0.108928571428571,0.319642857142857,0.000147973255631381,-6894.331940878
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,322,323,7.92501323073758e-05,0.000182909917853064,0.000137814122556384,6.89070612781918e-05,5.07158036436473e-05,0.000237002730461352,0,0.303571428571429,-0.483928571428571,0.560714285714286,0.000163513269104828,-7052.86464339547
