Model,ExoMode,Alpha,NumIntervalPoints,NominalCoverage,MeanCoverage,CoverageBias,AbsoluteCalibrationError,UnderCoverage,OverCoverage,MeanIntervalWidth,MeanIntervalScore,MeanWISIntervalComponent,MeanWISSharpnessComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
ARX,I,0.2,2464,0.800000000000008,0.398538961038961,-0.401461038961047,0.401461038961047,0.401461038961047,0,0.0133153591370432,0.0765065677087422,0.00170014594908316,0.000295896869712071,0.00098340270259189,0.0004208463767792
ARX,I,0.5,2464,0.5,0.145292207792208,-0.354707792207792,0.354707792207792,0.354707792207792,0,0.00409305258603033,0.0323523869346853,0.00179735482970474,0.000227391810335018,0.00111392898484846,0.00045603403452126
ARX,S,0.05,2464,0.949999999999999,0.467532467532468,-0.482467532467531,0.482467532467531,0.482467532467531,0,0.0263304120851151,0.272580948703556,0.00151433860390864,0.000146280067139528,0.00100019204974295,0.000367866487026163
ARX,S,0.1,2464,0.89999999999999,0.428571428571429,-0.471428571428561,0.471428571428561,0.471428571428561,0,0.0200547527422916,0.145689015624274,0.00161876684026972,0.000222830586025463,0.00100327332996143,0.000392662924282826
ARX,S,0.2,2464,0.800000000000008,0.376217532467532,-0.423782467532475,0.423782467532475,0.423782467532475,0,0.0133893300322914,0.0774571884297772,0.00172127085399505,0.000297540667384253,0.00100689593407349,0.000416834252537301
ARX,S,0.5,2464,0.5,0.269480519480519,-0.230519480519481,0.230519480519481,0.230519480519481,0,0.00440271222161961,0.0311446912791306,0.00173026062661836,0.000244595123423311,0.00101878189469997,0.000466883608495085
N4SID,I,0.05,2464,0.949999999999999,0.524350649350649,-0.425649350649349,0.425649350649349,0.425649350649349,0,0.0574664470556628,1.89248357269012,0.0105137976260562,0.000319258039198127,0.00182182553136815,0.00837271405548991
N4SID,I,0.1,2464,0.89999999999999,0.477678571428571,-0.422321428571418,0.422321428571418,0.422321428571418,0,0.0463803945953621,0.992473431338554,0.0110274825704284,0.000515337717726246,0.00196235595755828,0.00854978889514385
N4SID,I,0.2,2464,0.800000000000008,0.38961038961039,-0.410389610389618,0.410389610389618,0.410389610389618,0,0.0334488047246669,0.524908164572791,0.0116646258793954,0.000743306771659264,0.00215958174420151,0.00876173736353458
N4SID,I,0.5,2464,0.5,0.137581168831169,-0.362418831168831,0.362418831168831,0.362418831168831,0,0.0147031061308734,0.23407146771471,0.013003970428595,0.000816839229492966,0.00304664414013223,0.00914048705896978
N4SID,None,0.05,2464,0.949999999999999,0.47362012987013,-0.476379870129869,0.476379870129869,0.476379870129869,0,0.159648840510829,1.9246191903681,0.0106923288353783,0.000886938002837937,0.00530939633339955,0.00449599449914085
N4SID,None,0.1,2464,0.89999999999999,0.433441558441558,-0.466558441558431,0.466558441558431,0.466558441558431,0,0.1355891905334,1.15396521399848,0.0128218357110943,0.00150654656148223,0.0061497460314108,0.00516554311820123
N4SID,None,0.2,2464,0.800000000000008,0.372970779220779,-0.427029220779229,0.427029220779229,0.427029220779229,0,0.106654976219731,0.705241857203772,0.0156720412711949,0.00237011058266068,0.00724817338311774,0.00605375730541652
N4SID,None,0.5,2464,0.5,0.217532467532468,-0.282467532467532,0.282467532467532,0.282467532467532,0,0.0573637535836634,0.368602290026794,0.0204779050014886,0.00318687519909241,0.00953584294818959,0.00775518685420656
SSEST,I,0.05,2464,0.949999999999999,0.571834415584416,-0.378165584415583,0.378165584415583,0.378165584415583,0,0.223975379932648,1.70622739042089,0.00947904105789386,0.00124430766629249,0.00296229953378173,0.00527243385781964
SSEST,I,0.1,2464,0.89999999999999,0.518262987012987,-0.381737012987003,0.381737012987003,0.381737012987003,0,0.188194536962056,1.0580717379277,0.0117563526436411,0.00209105041068951,0.00362838787940243,0.00603691435354918
SSEST,I,0.2,2464,0.800000000000008,0.444399350649351,-0.355600649350657,0.355600649350657,0.355600649350657,0,0.147348108130087,0.667715102524973,0.0148381133894439,0.00327440240289082,0.00463581001519647,0.00692790097135656
SSEST,I,0.5,2464,0.5,0.330762987012987,-0.169237012987013,0.169237012987013,0.169237012987013,0,0.0773659618698673,0.360171426336225,0.0200095236853458,0.00429810899277041,0.00693260399595,0.00877881069662542
SSEST,None,0.05,2464,0.949999999999999,0.789366883116883,-0.160633116883116,0.160633116883116,0.160633116883116,0,0.306407830398838,0.780318808513444,0.00433510449174135,0.00170226572443799,0.00175862614179925,0.000874212625504116
