Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,Error,SquaredError,AbsoluteError,WIS,WISMedianComponent,WISDispersionComponent,WISUnderpredictionComponent,WISOverpredictionComponent,CoverageMean,CalibrationBiasMean,AbsoluteCalibrationErrorMean,IntervalWidthMean
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,9,65,1.1619335565374,1.16195703838797,2.34818505664425e-05,5.51397306024735e-10,2.34818505664425e-05,2.14146247025192e-05,1.17409252832212e-05,1.62157905546634e-06,8.30033068226488e-05,0,0,-0.7875,0.7875,5.34282439063061e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,10,66,1.16326248630447,1.163292851547,3.03652425208689e-05,9.22047953351186e-10,3.03652425208689e-05,2.80403836098225e-05,1.51826212604345e-05,1.98240394041482e-06,0.000109016701043352,0,0,-0.7875,0.7875,6.36556867056326e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,11,67,1.16454303787336,1.16458152085538,3.84829820234689e-05,1.48093990541863e-09,3.84829820234689e-05,3.59052940534917e-05,1.92414910117344e-05,2.35237322536719e-06,0.000139979959003611,0,0,-0.7875,0.7875,7.46967058123937e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,12,68,1.16577483178899,1.16582290653003,4.80747410380733e-05,2.31118072587781e-09,4.80747410380733e-05,4.52545794073155e-05,2.40373705190366e-05,2.68113979610685e-06,0.000176927097017776,0,0,-0.7875,0.7875,8.58420072646915e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,13,69,1.16695750304426,1.16701682400109,5.93209568313657e-05,3.51897591938876e-09,5.93209568313657e-05,5.61679898885756e-05,2.96604784156829e-05,3.01512673917537e-06,0.000220080349343732,0,0,-0.7875,0.7875,9.64630583111248e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,14,70,1.16809070118813,1.16816288117543,7.21799873057982e-05,5.20995056746519e-09,7.21799873057982e-05,6.8715144540743e-05,3.60899936528991e-05,3.40918947800972e-06,0.000269718967302435,0,0,-0.7875,0.7875,1.0737630249058e-05
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,1,64,1.16055664236272,1.16055706144311,4.19080393498916e-07,1.75628376215206e-13,4.19080393498916e-07,2.80923758878683e-07,2.09540196749458e-07,1.20072949610917e-07,9.34543768593699e-07,0,0,-0.7875,0.7875,3.23215064101934e-07
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,2,65,1.1619335565374,1.16193491039791,1.35386050659214e-06,1.83293827130993e-12,1.35386050659214e-06,9.78984468225086e-07,6.76930253296071e-07,2.56138843435227e-07,3.47236101028159e-06,0,0,-0.7875,0.7875,8.44825477963607e-07
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,3,66,1.16326248630447,1.16326534326496,2.85696048329953e-06,8.16222320313509e-12,2.85696048329953e-06,2.26292152905902e-06,1.42848024164977e-06,4.1565950785194e-07,8.3390071312639e-06,0,0,-0.7875,0.7875,1.39585831882005e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,4,67,1.16454303787336,1.16454814623702,5.10836366096612e-06,2.60953792926792e-11,5.10836366096612e-06,4.14513072673052e-06,2.55418183048306e-06,6.28936777408162e-07,1.54699696623961e-05,0,0,-0.7875,0.7875,2.03249288199814e-06
